,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.1166,5.0,16.0,0.1053,5.0,16.0,0.0863,5.0,20.0
1,2.0,0.1139,5.0,15.0,0.12,5.0,16.0,0.0841,5.0,20.0
2,3.0,0.1107,5.0,17.0,0.0956,5.0,19.0,0.0873,5.0,20.0
3,4.0,0.1098,5.0,17.0,0.0994,5.0,17.0,0.0876,5.0,20.0
4,5.0,0.1224,5.0,16.0,0.1114,5.0,16.0,0.0904,5.0,20.0
5,6.0,0.1208,5.0,16.0,0.1098,5.0,16.0,0.1112,5.0,20.0
6,7.0,0.1162,5.0,15.0,0.1154,5.0,16.0,0.117,5.0,20.0
7,8.0,0.1224,5.0,17.0,0.1086,5.0,18.0,0.0938,5.0,20.0
8,9.0,0.1201,5.0,15.0,0.1004,5.0,15.0,0.0792,5.0,20.0
9,10.0,0.1276,5.0,16.0,0.1023,5.0,17.0,0.0852,5.0,20.0
10,11.0,0.1148,5.0,15.0,0.0954,5.0,16.0,0.0866,5.0,20.0
11,12.0,0.117,5.0,16.0,0.1232,5.0,17.0,0.0862,5.0,20.0
12,13.0,0.1116,5.0,15.0,0.0977,5.0,15.0,0.088,5.0,20.0
13,14.0,0.1155,5.0,17.0,0.0946,5.0,17.0,0.1046,5.0,20.0
14,15.0,0.1132,5.0,15.0,0.0985,5.0,16.0,0.084,5.0,20.0
15,16.0,0.1134,5.0,15.0,0.0989,5.0,15.0,0.0881,5.0,20.0
16,17.0,0.1097,5.0,15.0,0.0968,5.0,15.0,0.0877,5.0,20.0
17,18.0,0.1192,5.0,17.0,0.0981,5.0,17.0,0.0865,5.0,20.0
18,19.0,0.1212,5.0,15.0,0.1264,5.0,15.0,0.0904,5.0,20.0
19,20.0,0.1516,5.0,17.0,0.1018,5.0,17.0,0.0924,5.0,20.0
20,21.0,0.2083,5.0,16.0,0.2292,5.0,17.0,0.1552,5.0,20.0
21,22.0,0.1205,5.0,15.0,0.1103,5.0,16.0,0.0918,5.0,20.0
22,23.0,0.1256,5.0,16.0,0.1365,5.0,17.0,0.1661,5.0,20.0
23,24.0,0.1444,5.0,14.0,0.1221,5.0,14.0,0.0837,5.0,20.0
24,25.0,0.1135,5.0,16.0,0.0957,5.0,18.0,0.0866,5.0,20.0
25,26.0,0.1508,5.0,18.0,0.1264,5.0,18.0,0.0958,5.0,20.0
26,27.0,0.1203,5.0,16.0,0.1127,5.0,17.0,0.0971,5.0,20.0
27,28.0,0.1231,5.0,15.0,0.128,5.0,16.0,0.0912,5.0,20.0
28,29.0,0.1377,5.0,15.0,0.1072,5.0,15.0,0.092,5.0,20.0
29,30.0,0.1152,5.0,15.0,0.0994,5.0,16.0,0.1085,5.0,20.0
30,31.0,0.1278,5.0,15.0,0.1071,5.0,19.0,0.0974,5.0,20.0
31,32.0,0.116,5.0,13.0,0.0959,5.0,15.0,0.0856,5.0,20.0
32,33.0,0.1431,5.0,16.0,0.1084,5.0,18.0,0.0921,5.0,20.0
