iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.4497,4.0,7.0,0.2261,4.0,9.0,0.0608,4.0,40.0
2.0,0.4339,4.0,7.0,0.2001,4.0,9.0,0.0635,4.0,42.0
3.0,0.463,5.0,8.0,0.2453,5.0,11.0,0.0692,5.0,47.0
4.0,0.3422,5.0,8.0,0.1723,5.0,10.0,0.0618,5.0,45.0
5.0,0.4045,5.0,8.0,0.2099,5.0,11.0,0.0744,5.0,49.0
6.0,0.3775,5.0,8.0,0.1865,5.0,9.0,0.0612,5.0,47.0
7.0,0.3977,5.0,8.0,0.2518,5.0,10.0,0.0674,5.0,47.0
8.0,0.5046,4.0,8.0,0.3376,4.0,12.0,0.1221,4.0,51.0
9.0,0.6827,5.0,7.0,0.2307,5.0,10.0,0.0712,5.0,42.0
10.0,0.4798,5.0,8.0,0.2414,5.0,9.0,0.108,5.0,50.0
11.0,0.4245,5.0,8.0,0.2068,5.0,10.0,0.0657,5.0,45.0
12.0,0.5063,5.0,7.0,0.24,5.0,9.0,0.0706,5.0,50.0
13.0,0.4737,4.0,8.0,0.289,4.0,10.0,0.0724,4.0,49.0
14.0,0.4237,4.0,8.0,0.2029,4.0,10.0,0.0616,4.0,49.0
15.0,0.4662,5.0,8.0,0.244,5.0,11.0,0.0648,5.0,44.0
16.0,0.4208,5.0,8.0,0.2158,5.0,9.0,0.1147,5.0,41.0
17.0,0.4763,5.0,8.0,0.2384,5.0,10.0,0.0679,5.0,49.0
18.0,0.4765,5.0,7.0,0.2363,5.0,9.0,0.0614,5.0,42.0
19.0,0.5053,4.0,8.0,0.2589,4.0,10.0,0.1129,4.0,46.0
20.0,0.4077,4.0,8.0,0.2002,4.0,10.0,0.0679,4.0,42.0
21.0,0.4274,4.0,8.0,0.1964,4.0,10.0,0.0609,4.0,38.0
22.0,0.3835,5.0,8.0,0.2002,5.0,9.0,0.0649,5.0,41.0
23.0,0.4544,4.0,8.0,0.2365,4.0,9.0,0.0647,4.0,44.0
24.0,0.4304,5.0,7.0,0.2686,5.0,10.0,0.0704,5.0,45.0
25.0,0.4327,4.0,8.0,0.2248,4.0,11.0,0.0631,4.0,43.0
26.0,0.3543,5.0,8.0,0.1798,5.0,11.0,0.0674,5.0,42.0
27.0,0.4784,4.0,7.0,0.2215,4.0,10.0,0.0631,4.0,47.0
28.0,0.4455,5.0,8.0,0.2147,5.0,10.0,0.0606,5.0,43.0
29.0,0.4373,5.0,9.0,0.2232,5.0,10.0,0.0713,5.0,50.0
30.0,0.456,5.0,7.0,0.2921,5.0,10.0,0.0697,5.0,43.0
31.0,0.4552,5.0,9.0,0.2252,5.0,11.0,0.0696,5.0,45.0
32.0,0.3467,5.0,8.0,0.1762,5.0,11.0,0.0679,5.0,45.0
33.0,0.4233,5.0,7.0,0.2213,5.0,9.0,0.0717,5.0,49.0
