iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.1599,6.0,9.0,0.0818,6.0,10.0,0.0497,6.0,37.0
2.0,0.147,5.0,9.0,0.0855,5.0,11.0,0.0524,5.0,32.0
3.0,0.1318,6.0,10.0,0.0823,6.0,11.0,0.0526,6.0,34.0
4.0,0.1411,6.0,9.0,0.0781,6.0,12.0,0.0469,6.0,39.0
5.0,0.1328,5.0,8.0,0.0763,5.0,8.0,0.0519,5.0,29.0
6.0,0.1489,6.0,9.0,0.0837,6.0,12.0,0.046,6.0,38.0
7.0,0.1348,6.0,9.0,0.0837,6.0,10.0,0.0533,6.0,32.0
8.0,0.1422,6.0,9.0,0.085,6.0,10.0,0.0505,6.0,31.0
9.0,0.1339,5.0,11.0,0.0765,5.0,12.0,0.0467,5.0,32.0
10.0,0.1563,5.0,8.0,0.0866,5.0,11.0,0.0439,5.0,34.0
11.0,0.1681,5.0,9.0,0.0788,5.0,12.0,0.0448,5.0,36.0
12.0,0.169,5.0,9.0,0.0961,5.0,10.0,0.0483,5.0,38.0
13.0,0.1423,5.0,8.0,0.08,5.0,9.0,0.0488,5.0,31.0
14.0,0.1542,5.0,8.0,0.0802,5.0,10.0,0.046,5.0,30.0
15.0,0.2,5.0,9.0,0.0861,5.0,10.0,0.0458,5.0,33.0
16.0,0.1463,6.0,9.0,0.0834,6.0,10.0,0.0508,6.0,36.0
17.0,0.1425,6.0,9.0,0.0855,6.0,11.0,0.0529,6.0,34.0
18.0,0.1784,5.0,9.0,0.1006,5.0,11.0,0.0906,5.0,31.0
19.0,0.1429,5.0,10.0,0.079,5.0,11.0,0.0446,5.0,35.0
20.0,0.1274,4.0,8.0,0.0683,4.0,10.0,0.0399,4.0,28.0
21.0,0.1394,5.0,8.0,0.0774,5.0,9.0,0.0458,5.0,30.0
22.0,0.1291,5.0,9.0,0.0788,5.0,11.0,0.0494,5.0,29.0
23.0,0.1574,5.0,8.0,0.0865,5.0,9.0,0.0455,5.0,35.0
24.0,0.1566,6.0,8.0,0.0984,6.0,10.0,0.0623,6.0,36.0
25.0,0.2076,5.0,9.0,0.1642,5.0,9.0,0.094,5.0,37.0
26.0,0.3332,7.0,9.0,0.1393,7.0,9.0,0.0882,7.0,36.0
27.0,0.2121,5.0,9.0,0.098,5.0,12.0,0.0496,5.0,37.0
28.0,0.137,5.0,9.0,0.0734,5.0,9.0,0.0446,5.0,31.0
29.0,0.1469,6.0,9.0,0.0859,6.0,9.0,0.0531,6.0,30.0
30.0,0.2029,6.0,9.0,0.0898,6.0,11.0,0.0507,6.0,35.0
31.0,0.1592,5.0,9.0,0.0867,5.0,10.0,0.0471,5.0,34.0
32.0,0.1205,5.0,7.0,0.0718,5.0,8.0,0.053,5.0,30.0
33.0,0.1596,5.0,7.0,0.1315,5.0,9.0,0.0453,5.0,34.0
