iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.3559,4.0,6.0,0.1978,4.0,6.0,0.0167,4.0,16.0
2.0,0.3279,4.0,5.0,0.2414,4.0,6.0,0.0167,4.0,19.0
3.0,0.3623,4.0,5.0,0.2392,4.0,7.0,0.0148,4.0,17.0
4.0,0.3685,3.0,6.0,0.2565,3.0,8.0,0.0277,3.0,17.0
5.0,0.4814,4.0,6.0,0.2398,4.0,7.0,0.0189,4.0,15.0
6.0,0.2481,4.0,6.0,0.1407,4.0,7.0,0.0166,4.0,18.0
7.0,0.2764,3.0,6.0,0.1534,3.0,6.0,0.0147,3.0,16.0
8.0,0.3376,4.0,6.0,0.2375,4.0,8.0,0.0181,4.0,18.0
9.0,0.2966,4.0,5.0,0.1599,4.0,6.0,0.0168,4.0,18.0
10.0,0.3272,4.0,6.0,0.1896,4.0,9.0,0.0159,4.0,18.0
11.0,0.3134,4.0,5.0,0.1814,4.0,7.0,0.016,4.0,18.0
12.0,0.3918,5.0,6.0,0.2298,5.0,7.0,0.019,5.0,21.0
13.0,0.284,4.0,5.0,0.2007,4.0,6.0,0.0157,4.0,20.0
14.0,0.2938,4.0,6.0,0.1649,4.0,7.0,0.0157,4.0,18.0
15.0,0.3845,4.0,5.0,0.2243,4.0,7.0,0.0178,4.0,20.0
16.0,0.2984,4.0,6.0,0.1473,4.0,8.0,0.016,4.0,19.0
17.0,0.3174,4.0,6.0,0.1847,4.0,8.0,0.0167,4.0,15.0
18.0,0.3265,4.0,6.0,0.1986,4.0,7.0,0.0609,4.0,19.0
19.0,0.3382,4.0,5.0,0.1893,4.0,6.0,0.0164,4.0,15.0
20.0,0.311,4.0,5.0,0.1751,4.0,7.0,0.0152,4.0,17.0
21.0,0.2614,3.0,5.0,0.1901,3.0,6.0,0.0146,3.0,16.0
22.0,0.2727,4.0,5.0,0.1651,4.0,6.0,0.0143,4.0,18.0
23.0,0.3335,4.0,6.0,0.1868,4.0,7.0,0.0183,4.0,20.0
24.0,0.3414,4.0,5.0,0.1641,4.0,6.0,0.0169,4.0,19.0
25.0,0.264,3.0,5.0,0.1546,3.0,7.0,0.0147,3.0,16.0
26.0,0.306,4.0,4.0,0.1742,4.0,6.0,0.02,4.0,15.0
27.0,0.308,4.0,6.0,0.2119,4.0,8.0,0.017,4.0,19.0
28.0,0.2947,4.0,5.0,0.1711,4.0,7.0,0.0153,4.0,18.0
29.0,0.2928,4.0,6.0,0.1686,4.0,9.0,0.0181,4.0,21.0
30.0,0.3588,3.0,6.0,0.1814,3.0,7.0,0.0154,3.0,17.0
31.0,0.3021,4.0,5.0,0.1727,4.0,6.0,0.0148,4.0,16.0
32.0,0.293,3.0,6.0,0.2018,3.0,7.0,0.0154,3.0,18.0
33.0,0.3291,3.0,5.0,0.1941,3.0,8.0,0.0145,3.0,18.0
