iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.6242,4.0,6.0,0.4099,4.0,8.0,0.0334,4.0,31.0
2.0,0.6571,4.0,7.0,0.3823,4.0,10.0,0.0375,4.0,33.0
3.0,0.7321,4.0,6.0,0.3902,4.0,9.0,0.0362,4.0,34.0
4.0,0.4929,5.0,7.0,0.3057,5.0,7.0,0.0309,5.0,29.0
5.0,0.6502,4.0,7.0,0.3483,4.0,8.0,0.0402,4.0,27.0
6.0,0.5769,4.0,6.0,0.2975,4.0,7.0,0.0354,4.0,31.0
7.0,0.5869,4.0,6.0,0.3813,4.0,9.0,0.0355,4.0,29.0
8.0,0.6706,4.0,6.0,0.3778,4.0,8.0,0.0357,4.0,33.0
9.0,0.5727,4.0,6.0,0.3188,4.0,9.0,0.0355,4.0,32.0
10.0,0.6782,4.0,6.0,0.4289,4.0,9.0,0.0345,4.0,32.0
11.0,0.6317,4.0,6.0,0.3511,4.0,8.0,0.0329,4.0,30.0
12.0,0.7565,5.0,6.0,0.4753,5.0,9.0,0.0512,5.0,34.0
13.0,1.1588,4.0,6.0,0.4358,4.0,7.0,0.0412,4.0,36.0
14.0,0.6061,4.0,7.0,0.3665,4.0,9.0,0.0337,4.0,34.0
15.0,0.7633,4.0,7.0,0.4209,4.0,8.0,0.0388,4.0,34.0
16.0,0.5803,4.0,7.0,0.328,4.0,8.0,0.0383,4.0,36.0
17.0,0.6744,4.0,7.0,0.3719,4.0,9.0,0.0365,4.0,29.0
18.0,0.639,4.0,6.0,0.424,4.0,7.0,0.0367,4.0,32.0
19.0,0.6827,4.0,6.0,0.3632,4.0,8.0,0.0336,4.0,27.0
20.0,0.6529,4.0,6.0,0.3679,4.0,8.0,0.0336,4.0,26.0
21.0,0.5732,3.0,6.0,0.3572,3.0,8.0,0.0316,3.0,23.0
22.0,0.6356,4.0,6.0,0.3581,4.0,7.0,0.0356,4.0,29.0
23.0,0.7129,4.0,6.0,0.3894,4.0,8.0,0.0403,4.0,33.0
24.0,0.5894,4.0,7.0,0.3601,4.0,9.0,0.0376,4.0,38.0
25.0,0.5775,3.0,6.0,0.324,3.0,7.0,0.032,3.0,32.0
26.0,0.595,4.0,6.0,0.3353,4.0,9.0,0.0387,4.0,29.0
27.0,0.7633,4.0,6.0,0.3895,4.0,8.0,0.0349,4.0,35.0
28.0,0.618,4.0,6.0,0.3962,4.0,8.0,0.0329,4.0,31.0
29.0,0.6123,4.0,7.0,0.3497,4.0,10.0,0.0387,4.0,34.0
30.0,0.698,4.0,6.0,0.398,4.0,9.0,0.0356,4.0,33.0
31.0,0.6561,4.0,6.0,0.3405,4.0,7.0,0.0306,4.0,29.0
32.0,0.5499,3.0,6.0,0.3077,3.0,8.0,0.032,3.0,27.0
33.0,0.6742,3.0,6.0,0.3932,3.0,9.0,0.0333,3.0,34.0
