iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,2.0996,5.0,9.0,1.246,5.0,13.0,0.3065,5.0,77.0
2.0,1.9466,4.0,8.0,1.1262,4.0,10.0,0.2403,4.0,64.0
3.0,1.8502,5.0,8.0,1.0852,5.0,10.0,0.2549,5.0,67.0
4.0,1.8521,5.0,8.0,0.9949,5.0,10.0,0.3159,5.0,73.0
5.0,2.5177,5.0,7.0,1.0272,5.0,9.0,0.2485,5.0,52.0
6.0,1.7458,5.0,9.0,0.9501,5.0,11.0,0.2971,5.0,63.0
7.0,1.9915,5.0,8.0,1.0853,5.0,10.0,0.308,5.0,61.0
8.0,2.2711,5.0,8.0,1.2194,5.0,11.0,0.3089,5.0,69.0
9.0,1.9456,5.0,8.0,1.1227,5.0,11.0,0.3125,5.0,67.0
10.0,2.0789,5.0,9.0,1.2287,5.0,12.0,0.2405,5.0,71.0
11.0,2.0451,5.0,8.0,1.1715,5.0,10.0,0.2435,5.0,71.0
12.0,2.4662,5.0,8.0,1.4888,5.0,9.0,0.3141,5.0,69.0
13.0,2.0166,5.0,8.0,1.1718,5.0,11.0,0.2586,5.0,80.0
14.0,2.074,5.0,8.0,1.1756,5.0,11.0,0.2553,5.0,67.0
15.0,2.3823,4.0,8.0,1.3331,4.0,12.0,0.2457,4.0,65.0
16.0,2.1597,6.0,9.0,1.2172,6.0,10.0,0.2719,6.0,69.0
17.0,1.9665,5.0,9.0,1.155,5.0,11.0,0.26,5.0,66.0
18.0,2.0616,5.0,8.0,1.1856,5.0,11.0,0.2606,5.0,67.0
19.0,2.2001,5.0,8.0,1.2664,5.0,9.0,0.2428,5.0,63.0
20.0,2.045,5.0,8.0,1.1915,5.0,9.0,0.2494,5.0,63.0
21.0,1.8005,6.0,9.0,0.9469,6.0,11.0,0.2347,6.0,60.0
22.0,1.9018,5.0,9.0,1.1029,5.0,10.0,0.2574,5.0,68.0
23.0,2.1453,4.0,9.0,1.2363,4.0,11.0,0.2551,4.0,62.0
24.0,1.9641,5.0,8.0,1.1365,5.0,11.0,0.2596,5.0,57.0
25.0,2.0368,5.0,9.0,1.1635,5.0,12.0,0.265,5.0,62.0
26.0,1.8555,5.0,9.0,1.0184,5.0,12.0,0.3267,5.0,73.0
27.0,2.4209,4.0,9.0,1.3358,4.0,12.0,0.3098,4.0,67.0
28.0,2.072,5.0,8.0,1.1537,5.0,9.0,0.3031,5.0,65.0
29.0,1.8787,5.0,8.0,1.109,5.0,11.0,0.2605,5.0,64.0
30.0,2.3995,5.0,9.0,1.3321,5.0,11.0,0.3049,5.0,65.0
31.0,2.1761,5.0,8.0,1.1509,5.0,10.0,0.2377,5.0,70.0
32.0,1.9105,5.0,9.0,1.1082,5.0,13.0,0.2599,5.0,65.0
33.0,2.3529,5.0,8.0,1.3553,5.0,11.0,0.2375,5.0,58.0
