iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,2.8797,14.0,48.0,1.8048,14.0,63.0,0.9926,14.0,223.0
2.0,3.2769,12.0,48.0,1.7682,12.0,58.0,0.9613,12.0,246.0
3.0,4.4268,14.0,50.0,1.8751,14.0,65.0,0.9485,14.0,236.0
4.0,2.4302,15.0,48.0,1.6155,15.0,63.0,0.9525,15.0,206.0
5.0,2.9129,14.0,47.0,1.7767,14.0,60.0,0.9944,14.0,226.0
6.0,4.0975,14.0,49.0,1.7475,14.0,64.0,0.9929,14.0,231.0
7.0,2.8625,14.0,48.0,1.8257,14.0,62.0,1.0513,14.0,213.0
8.0,3.1227,14.0,49.0,1.8346,14.0,65.0,0.9607,14.0,225.0
9.0,4.9603,14.0,48.0,1.7304,14.0,63.0,0.8893,14.0,225.0
10.0,4.4127,15.0,49.0,1.7153,15.0,67.0,0.963,15.0,217.0
11.0,3.4618,14.0,47.0,1.6914,14.0,64.0,0.9265,14.0,236.0
12.0,3.0068,13.0,46.0,1.7498,13.0,57.0,0.9363,13.0,223.0
13.0,2.9102,14.0,49.0,1.8074,14.0,66.0,1.0236,14.0,230.0
14.0,3.693,14.0,51.0,1.7239,14.0,67.0,0.9634,14.0,229.0
15.0,2.894,14.0,48.0,1.7996,14.0,65.0,0.9858,14.0,236.0
16.0,3.208,16.0,50.0,1.7907,16.0,64.0,1.0158,16.0,227.0
17.0,3.1349,15.0,48.0,1.7832,15.0,62.0,0.9729,15.0,231.0
18.0,2.958,15.0,49.0,1.8605,15.0,62.0,0.9807,15.0,223.0
19.0,2.9126,15.0,48.0,1.8081,15.0,66.0,1.013,15.0,228.0
20.0,2.8436,15.0,48.0,1.7995,15.0,63.0,1.0021,15.0,220.0
21.0,3.3099,15.0,49.0,1.7815,15.0,63.0,0.991,15.0,240.0
22.0,2.8927,14.0,47.0,1.825,14.0,65.0,1.0032,14.0,217.0
23.0,3.0567,14.0,46.0,1.7355,14.0,64.0,0.9876,14.0,222.0
24.0,3.4577,15.0,48.0,1.8443,15.0,60.0,0.9415,15.0,233.0
25.0,2.7566,15.0,49.0,1.8616,15.0,69.0,1.0142,15.0,226.0
26.0,3.0628,15.0,47.0,1.6973,15.0,62.0,1.0151,15.0,214.0
27.0,4.4736,14.0,49.0,1.7613,14.0,67.0,1.0078,14.0,234.0
28.0,3.2596,15.0,49.0,1.7587,15.0,60.0,0.973,15.0,243.0
29.0,2.8722,15.0,49.0,1.8783,15.0,58.0,1.0753,15.0,221.0
30.0,3.0013,14.0,49.0,1.8361,14.0,65.0,1.0425,14.0,235.0
31.0,2.9975,15.0,49.0,1.7949,15.0,63.0,1.0062,15.0,236.0
32.0,2.9889,14.0,50.0,1.7281,14.0,64.0,1.0292,14.0,215.0
33.0,3.8372,15.0,48.0,1.7826,15.0,58.0,0.9791,15.0,232.0
