iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.6146,10.0,24.0,0.4465,10.0,31.0,0.306,10.0,79.0
2.0,0.6633,9.0,26.0,0.4261,9.0,32.0,0.3205,9.0,91.0
3.0,0.7017,9.0,26.0,0.4114,9.0,32.0,0.3021,9.0,87.0
4.0,0.5626,11.0,26.0,0.3941,11.0,32.0,0.3276,11.0,83.0
5.0,0.707,10.0,25.0,0.4347,10.0,28.0,0.3782,10.0,82.0
6.0,0.6659,9.0,25.0,0.4387,9.0,30.0,0.3816,9.0,80.0
7.0,1.0299,10.0,25.0,0.5015,10.0,29.0,0.3652,10.0,85.0
8.0,0.6628,11.0,24.0,0.3878,11.0,29.0,0.2976,11.0,86.0
9.0,0.6008,10.0,25.0,0.4587,10.0,30.0,0.3392,10.0,79.0
10.0,0.6507,10.0,25.0,0.4087,10.0,30.0,0.3519,10.0,90.0
11.0,0.638,10.0,25.0,0.4019,10.0,31.0,0.2834,10.0,86.0
12.0,0.6882,10.0,25.0,0.4887,10.0,31.0,0.3371,10.0,83.0
13.0,0.6389,9.0,25.0,0.4111,9.0,31.0,0.3464,9.0,83.0
14.0,0.6257,10.0,27.0,0.3939,10.0,35.0,0.3422,10.0,86.0
15.0,0.63,10.0,26.0,0.4781,10.0,31.0,0.3207,10.0,92.0
16.0,0.6485,10.0,26.0,0.4644,10.0,31.0,0.3169,10.0,85.0
17.0,0.6369,11.0,24.0,0.4278,11.0,31.0,0.347,11.0,82.0
18.0,0.7097,10.0,25.0,0.446,10.0,30.0,0.3546,10.0,88.0
19.0,0.6464,10.0,24.0,0.4255,10.0,31.0,0.3113,10.0,83.0
20.0,0.6045,11.0,24.0,0.3966,11.0,29.0,0.3492,11.0,77.0
21.0,0.6056,10.0,27.0,0.4972,10.0,32.0,0.2925,10.0,86.0
22.0,0.6106,10.0,27.0,0.451,10.0,30.0,0.3087,10.0,83.0
23.0,0.6293,10.0,24.0,0.4134,10.0,32.0,0.3591,10.0,82.0
24.0,0.6797,11.0,26.0,0.4333,11.0,30.0,0.3659,11.0,79.0
25.0,0.7059,11.0,28.0,0.4648,11.0,33.0,0.3764,11.0,89.0
26.0,0.5542,11.0,25.0,0.4312,11.0,31.0,0.328,11.0,75.0
27.0,0.6229,9.0,26.0,0.4857,9.0,30.0,0.3071,9.0,87.0
28.0,0.624,10.0,25.0,0.3998,10.0,33.0,0.3483,10.0,81.0
29.0,0.6759,10.0,26.0,0.4338,10.0,33.0,0.3638,10.0,84.0
30.0,0.6247,9.0,27.0,0.4529,9.0,34.0,0.3049,9.0,89.0
31.0,0.6798,11.0,24.0,0.5105,11.0,26.0,0.3316,11.0,87.0
32.0,0.6443,10.0,26.0,0.3974,10.0,32.0,0.3439,10.0,77.0
33.0,0.7035,11.0,26.0,0.4613,11.0,34.0,0.3677,11.0,88.0
