iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0416,4.0,6.0,0.0177,4.0,7.0,0.0064,4.0,15.0
2.0,0.026,4.0,6.0,0.0115,4.0,7.0,0.0045,4.0,13.0
3.0,0.0303,4.0,6.0,0.0133,4.0,9.0,0.0052,4.0,18.0
4.0,0.0371,4.0,6.0,0.0146,4.0,8.0,0.0052,4.0,19.0
5.0,0.0308,4.0,6.0,0.0129,4.0,7.0,0.0051,4.0,17.0
6.0,0.0323,4.0,5.0,0.0145,4.0,7.0,0.0054,4.0,17.0
7.0,0.0367,4.0,5.0,0.0176,4.0,7.0,0.0062,4.0,12.0
8.0,0.038,3.0,6.0,0.0163,3.0,8.0,0.0051,3.0,16.0
9.0,0.0353,4.0,5.0,0.0169,4.0,5.0,0.006,4.0,15.0
10.0,0.0867,4.0,6.0,0.0201,4.0,7.0,0.0066,4.0,18.0
11.0,0.0329,4.0,6.0,0.0148,4.0,7.0,0.0051,4.0,16.0
12.0,0.0313,4.0,6.0,0.0137,4.0,7.0,0.0046,4.0,14.0
13.0,0.0382,4.0,6.0,0.0173,4.0,8.0,0.0059,4.0,17.0
14.0,0.0354,4.0,6.0,0.0155,4.0,9.0,0.0055,4.0,15.0
15.0,0.0378,3.0,6.0,0.0164,3.0,6.0,0.0053,3.0,17.0
16.0,0.0385,4.0,5.0,0.0158,4.0,6.0,0.0072,4.0,18.0
17.0,0.0318,4.0,5.0,0.0141,4.0,6.0,0.0055,4.0,15.0
18.0,0.0452,4.0,5.0,0.0211,4.0,7.0,0.0068,4.0,17.0
19.0,0.036,4.0,6.0,0.0156,4.0,9.0,0.0055,4.0,16.0
20.0,0.0293,4.0,4.0,0.0134,4.0,6.0,0.0053,4.0,14.0
21.0,0.0375,4.0,5.0,0.0158,4.0,7.0,0.006,4.0,15.0
22.0,0.0374,4.0,6.0,0.0164,4.0,7.0,0.006,4.0,18.0
23.0,0.0348,4.0,6.0,0.0152,4.0,7.0,0.006,4.0,15.0
24.0,0.0303,3.0,4.0,0.0134,3.0,6.0,0.0047,3.0,13.0
25.0,0.04,5.0,5.0,0.0232,5.0,7.0,0.0088,5.0,16.0
26.0,0.0278,5.0,5.0,0.0117,5.0,7.0,0.0054,5.0,15.0
27.0,0.0299,3.0,6.0,0.0121,3.0,7.0,0.0039,3.0,18.0
28.0,0.0291,4.0,5.0,0.0127,4.0,6.0,0.0049,4.0,18.0
29.0,0.0335,4.0,5.0,0.0166,4.0,7.0,0.0064,4.0,14.0
30.0,0.0415,4.0,7.0,0.0197,4.0,7.0,0.0078,4.0,17.0
31.0,0.0345,4.0,5.0,0.015,4.0,6.0,0.0055,4.0,17.0
32.0,0.0281,4.0,5.0,0.0124,4.0,7.0,0.0059,4.0,17.0
33.0,0.0403,5.0,6.0,0.0184,5.0,6.0,0.0073,5.0,17.0
