iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0122,3.0,2.0,0.006,3.0,3.0,0.001,3.0,2.0
2.0,0.0072,3.0,2.0,0.0036,3.0,3.0,0.001,3.0,2.0
3.0,0.0077,3.0,2.0,0.0041,3.0,3.0,0.0011,3.0,2.0
4.0,0.0072,4.0,3.0,0.0034,4.0,3.0,0.001,4.0,3.0
5.0,0.006,2.0,2.0,0.0031,2.0,2.0,0.0007,2.0,2.0
6.0,0.0049,2.0,2.0,0.0024,2.0,2.0,0.0006,2.0,2.0
7.0,0.0071,3.0,2.0,0.0041,3.0,3.0,0.001,3.0,2.0
8.0,0.006,2.0,2.0,0.0031,2.0,2.0,0.0007,2.0,2.0
9.0,0.0073,3.0,2.0,0.0039,3.0,2.0,0.0009,3.0,2.0
10.0,0.0161,4.0,3.0,0.0111,4.0,3.0,0.0016,4.0,3.0
11.0,0.0044,2.0,2.0,0.0022,2.0,2.0,0.0005,2.0,2.0
12.0,0.0103,2.0,2.0,0.0062,2.0,2.0,0.0008,2.0,2.0
13.0,0.0071,3.0,2.0,0.003,3.0,3.0,0.0012,3.0,2.0
14.0,0.0099,3.0,2.0,0.0053,3.0,3.0,0.001,3.0,2.0
15.0,0.0085,3.0,2.0,0.0042,3.0,3.0,0.0009,3.0,2.0
16.0,0.0068,2.0,2.0,0.0033,2.0,3.0,0.0006,2.0,2.0
17.0,0.0065,2.0,2.0,0.0033,2.0,3.0,0.0006,2.0,2.0
18.0,0.009,3.0,2.0,0.0056,3.0,3.0,0.001,3.0,2.0
19.0,0.0124,3.0,2.0,0.0061,3.0,3.0,0.0011,3.0,2.0
20.0,0.0096,3.0,2.0,0.0057,3.0,3.0,0.0012,3.0,2.0
21.0,0.0053,2.0,2.0,0.0022,2.0,3.0,0.0005,2.0,2.0
22.0,0.0058,2.0,2.0,0.0024,2.0,2.0,0.0006,2.0,2.0
23.0,0.0039,2.0,2.0,0.0015,2.0,2.0,0.0005,2.0,2.0
24.0,0.0027,2.0,2.0,0.0012,2.0,2.0,0.0004,2.0,2.0
25.0,0.0107,3.0,2.0,0.0056,3.0,3.0,0.0015,3.0,2.0
26.0,0.0073,3.0,2.0,0.0036,3.0,2.0,0.0008,3.0,2.0
27.0,0.01,3.0,2.0,0.0054,3.0,2.0,0.0011,3.0,2.0
28.0,0.0052,2.0,2.0,0.0025,2.0,3.0,0.0008,2.0,2.0
29.0,0.0049,2.0,2.0,0.0022,2.0,3.0,0.0006,2.0,2.0
30.0,0.0089,3.0,2.0,0.0051,3.0,3.0,0.0011,3.0,2.0
31.0,0.0117,3.0,2.0,0.0062,3.0,3.0,0.001,3.0,2.0
32.0,0.007,3.0,2.0,0.0044,3.0,3.0,0.0009,3.0,2.0
33.0,0.0063,2.0,2.0,0.0025,2.0,2.0,0.0006,2.0,2.0
