iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,1.159,3.0,6.0,0.7011,3.0,9.0,0.0313,3.0,20.0
2.0,1.3323,4.0,6.0,0.862,4.0,7.0,0.0446,4.0,22.0
3.0,1.387,4.0,6.0,0.8929,4.0,9.0,0.0386,4.0,20.0
4.0,0.9934,5.0,7.0,0.5858,5.0,9.0,0.0321,5.0,18.0
5.0,1.1921,4.0,6.0,0.8566,4.0,9.0,0.0402,4.0,21.0
6.0,1.2883,4.0,6.0,0.8951,4.0,8.0,0.0429,4.0,24.0
7.0,1.7422,4.0,6.0,0.9045,4.0,8.0,0.0395,4.0,22.0
8.0,1.2362,3.0,5.0,0.8336,3.0,7.0,0.0334,3.0,19.0
9.0,1.2552,4.0,6.0,0.7879,4.0,8.0,0.0369,4.0,21.0
10.0,1.2029,4.0,6.0,0.7367,4.0,7.0,0.0338,4.0,20.0
11.0,1.405,4.0,6.0,0.8809,4.0,7.0,0.0337,4.0,21.0
12.0,1.4054,4.0,6.0,0.9169,4.0,9.0,0.0417,4.0,21.0
13.0,1.2265,4.0,7.0,0.8297,4.0,8.0,0.038,4.0,21.0
14.0,1.2126,4.0,7.0,0.8179,4.0,9.0,0.0374,4.0,21.0
15.0,1.255,4.0,6.0,0.8834,4.0,7.0,0.0415,4.0,20.0
16.0,1.2476,4.0,6.0,0.8154,4.0,8.0,0.0388,4.0,21.0
17.0,1.2344,3.0,6.0,0.7864,3.0,9.0,0.0382,3.0,20.0
18.0,1.4144,4.0,5.0,0.8942,4.0,8.0,0.0373,4.0,20.0
19.0,1.4882,3.0,5.0,0.9541,3.0,8.0,0.0371,3.0,18.0
20.0,1.2632,4.0,5.0,0.8023,4.0,6.0,0.0373,4.0,22.0
21.0,1.3112,3.0,6.0,0.8245,3.0,9.0,0.0356,3.0,20.0
22.0,1.2099,4.0,6.0,0.8941,4.0,7.0,0.0393,4.0,20.0
23.0,1.2643,4.0,6.0,0.852,4.0,7.0,0.0431,4.0,24.0
24.0,1.0884,4.0,6.0,0.7604,4.0,8.0,0.0395,4.0,22.0
25.0,1.1873,4.0,7.0,0.7275,4.0,9.0,0.0344,4.0,21.0
26.0,1.2345,5.0,6.0,0.8512,5.0,8.0,0.0407,5.0,23.0
27.0,1.3834,4.0,5.0,0.9022,4.0,7.0,0.0385,4.0,20.0
28.0,1.2039,3.0,5.0,0.8015,3.0,6.0,0.0397,3.0,20.0
29.0,1.3495,5.0,7.0,0.8265,5.0,9.0,0.0393,5.0,18.0
30.0,1.2192,3.0,6.0,0.7661,3.0,9.0,0.0327,3.0,19.0
31.0,1.2704,4.0,6.0,0.8727,4.0,9.0,0.0388,4.0,21.0
32.0,1.1369,4.0,6.0,0.779,4.0,7.0,0.037,4.0,19.0
33.0,1.2471,4.0,6.0,0.852,4.0,8.0,0.037,4.0,20.0
