,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.4068,14.0,47.0,0.2902,14.0,62.0,0.198,14.0,136.0
1,2.0,0.3828,17.0,49.0,0.2957,17.0,60.0,0.2074,17.0,129.0
2,3.0,0.3809,15.0,50.0,0.2994,15.0,61.0,0.2307,15.0,121.0
3,4.0,0.3903,16.0,49.0,0.3482,16.0,57.0,0.2242,16.0,135.0
4,5.0,0.4298,18.0,46.0,0.3322,18.0,59.0,0.2246,18.0,125.0
5,6.0,0.3829,17.0,51.0,0.2833,17.0,63.0,0.2009,17.0,134.0
6,7.0,0.3803,20.0,49.0,0.3471,20.0,60.0,0.2395,20.0,126.0
7,8.0,0.4016,16.0,46.0,0.3492,16.0,53.0,0.2534,16.0,126.0
8,9.0,0.533,17.0,47.0,0.425,17.0,55.0,0.3121,17.0,118.0
9,10.0,0.4572,16.0,48.0,0.3954,16.0,59.0,0.2517,16.0,132.0
10,11.0,0.4117,15.0,50.0,0.3141,15.0,62.0,0.2036,15.0,131.0
11,12.0,0.4446,18.0,48.0,0.335,18.0,57.0,0.2431,18.0,135.0
12,13.0,0.4688,16.0,49.0,0.3687,16.0,61.0,0.2556,16.0,129.0
13,14.0,0.3577,17.0,46.0,0.3365,17.0,55.0,0.2266,17.0,121.0
14,15.0,0.4383,19.0,46.0,0.3399,19.0,54.0,0.2647,19.0,122.0
15,16.0,0.4571,17.0,51.0,0.3262,17.0,61.0,0.2478,17.0,136.0
16,17.0,0.3621,17.0,49.0,0.2984,17.0,58.0,0.2537,17.0,125.0
17,18.0,0.664,18.0,53.0,0.4195,18.0,61.0,0.3379,18.0,132.0
18,19.0,0.3965,16.0,48.0,0.3428,16.0,59.0,0.2305,16.0,129.0
19,20.0,0.3409,15.0,48.0,0.3055,15.0,56.0,0.2032,15.0,123.0
20,21.0,0.3898,18.0,47.0,0.3499,18.0,56.0,0.2365,18.0,126.0
21,22.0,0.3602,17.0,49.0,0.2883,17.0,61.0,0.2244,17.0,118.0
22,23.0,0.4099,16.0,49.0,0.303,16.0,60.0,0.2017,16.0,129.0
23,24.0,0.3723,17.0,50.0,0.2983,17.0,61.0,0.2301,17.0,126.0
24,25.0,0.4681,19.0,49.0,0.3579,19.0,60.0,0.3209,19.0,135.0
25,26.0,0.4014,16.0,47.0,0.366,16.0,57.0,0.2475,16.0,125.0
26,27.0,0.4214,15.0,50.0,0.3166,15.0,61.0,0.2363,15.0,123.0
27,28.0,0.3965,16.0,47.0,0.3281,16.0,57.0,0.2247,16.0,128.0
28,29.0,0.4147,19.0,51.0,0.3344,19.0,61.0,0.2821,19.0,124.0
29,30.0,0.3551,15.0,48.0,0.2826,15.0,54.0,0.2148,15.0,135.0
30,31.0,0.3897,19.0,48.0,0.3386,19.0,57.0,0.2307,19.0,130.0
31,32.0,0.4419,16.0,48.0,0.3421,16.0,55.0,0.2334,16.0,129.0
32,33.0,0.365,16.0,52.0,0.297,16.0,62.0,0.2315,16.0,135.0
