,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.2496,7.0,13.0,0.1846,7.0,18.0,0.0967,7.0,67.0
1,2.0,0.2193,7.0,13.0,0.1728,7.0,17.0,0.0681,7.0,66.0
2,3.0,0.2565,7.0,14.0,0.1683,7.0,17.0,0.0709,7.0,66.0
3,4.0,0.219,7.0,14.0,0.1283,7.0,18.0,0.0719,7.0,66.0
4,5.0,0.2442,6.0,14.0,0.155,6.0,16.0,0.08,6.0,65.0
5,6.0,0.2444,6.0,14.0,0.1648,6.0,18.0,0.0666,6.0,63.0
6,7.0,0.2264,6.0,13.0,0.1484,6.0,16.0,0.0729,6.0,63.0
7,8.0,0.2556,7.0,14.0,0.1538,7.0,17.0,0.0674,7.0,63.0
8,9.0,0.2288,6.0,14.0,0.1441,6.0,18.0,0.0719,6.0,56.0
9,10.0,0.267,6.0,13.0,0.1671,6.0,17.0,0.0688,6.0,70.0
10,11.0,0.2432,7.0,13.0,0.1412,7.0,18.0,0.0671,7.0,63.0
11,12.0,0.2641,7.0,13.0,0.1716,7.0,17.0,0.0754,7.0,62.0
12,13.0,0.2813,6.0,12.0,0.1748,6.0,17.0,0.0762,6.0,69.0
13,14.0,0.2205,6.0,13.0,0.137,6.0,19.0,0.0626,6.0,68.0
14,15.0,0.2653,7.0,13.0,0.1699,7.0,18.0,0.1069,7.0,66.0
15,16.0,0.2534,7.0,14.0,0.1604,7.0,17.0,0.0858,7.0,62.0
16,17.0,0.3005,6.0,13.0,0.1913,6.0,15.0,0.0712,6.0,60.0
17,18.0,0.2857,7.0,12.0,0.1998,7.0,14.0,0.0708,7.0,67.0
18,19.0,0.3459,6.0,13.0,0.2058,6.0,18.0,0.0783,6.0,68.0
19,20.0,0.3129,7.0,13.0,0.1968,7.0,16.0,0.1475,7.0,61.0
20,21.0,0.2988,6.0,12.0,0.1676,6.0,17.0,0.0901,6.0,59.0
21,22.0,0.3634,6.0,13.0,0.2595,6.0,18.0,0.0918,6.0,59.0
22,23.0,0.3229,7.0,14.0,0.2001,7.0,17.0,0.0768,7.0,58.0
23,24.0,0.3818,7.0,13.0,0.269,7.0,17.0,0.1429,7.0,60.0
24,25.0,0.3491,7.0,14.0,0.1759,7.0,19.0,0.0771,7.0,65.0
25,26.0,0.2669,7.0,14.0,0.156,7.0,17.0,0.107,7.0,59.0
26,27.0,0.2752,6.0,13.0,0.1786,6.0,17.0,0.0793,6.0,69.0
27,28.0,0.2817,7.0,12.0,0.1681,7.0,17.0,0.0788,7.0,63.0
28,29.0,0.258,7.0,14.0,0.1748,7.0,17.0,0.079,7.0,68.0
29,30.0,0.2698,7.0,12.0,0.1682,7.0,16.0,0.0698,7.0,64.0
30,31.0,0.268,7.0,13.0,0.1715,7.0,18.0,0.0757,7.0,62.0
31,32.0,0.2003,7.0,12.0,0.1379,7.0,18.0,0.0745,7.0,51.0
32,33.0,0.2449,6.0,14.0,0.182,6.0,17.0,0.0723,6.0,67.0
