,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.5733,7.0,15.0,0.4244,7.0,19.0,0.1882,7.0,83.0
1,2.0,0.5164,7.0,14.0,0.354,7.0,19.0,0.1959,7.0,80.0
2,3.0,0.5886,6.0,14.0,0.3821,6.0,19.0,0.206,6.0,81.0
3,4.0,0.4617,7.0,15.0,0.3162,7.0,19.0,0.192,7.0,75.0
4,5.0,0.5623,7.0,14.0,0.3678,7.0,18.0,0.2147,7.0,75.0
5,6.0,0.4975,6.0,15.0,0.3428,6.0,20.0,0.2024,6.0,74.0
6,7.0,0.5401,6.0,13.0,0.3729,6.0,18.0,0.2362,6.0,77.0
7,8.0,0.5648,7.0,14.0,0.4381,7.0,18.0,0.1908,7.0,82.0
8,9.0,0.5302,6.0,14.0,0.3601,6.0,20.0,0.196,6.0,76.0
9,10.0,0.5987,6.0,14.0,0.4004,6.0,19.0,0.206,6.0,85.0
10,11.0,0.6187,7.0,14.0,0.341,7.0,19.0,0.199,7.0,72.0
11,12.0,0.5483,6.0,14.0,0.3865,6.0,17.0,0.2193,6.0,77.0
12,13.0,0.5641,7.0,14.0,0.3934,7.0,20.0,0.2328,7.0,80.0
13,14.0,0.5089,7.0,15.0,0.3879,7.0,20.0,0.2064,7.0,85.0
14,15.0,0.5764,7.0,14.0,0.3845,7.0,17.0,0.2026,7.0,80.0
15,16.0,0.5459,7.0,14.0,0.392,7.0,19.0,0.2139,7.0,79.0
16,17.0,0.561,7.0,14.0,0.3626,7.0,20.0,0.1919,7.0,78.0
17,18.0,0.5526,7.0,14.0,0.3781,7.0,17.0,0.1985,7.0,81.0
18,19.0,0.616,7.0,14.0,0.4309,7.0,17.0,0.2368,7.0,82.0
19,20.0,0.5132,7.0,14.0,0.449,7.0,19.0,0.2282,7.0,77.0
20,21.0,0.4984,7.0,15.0,0.3415,7.0,19.0,0.1978,7.0,80.0
21,22.0,0.5076,6.0,14.0,0.3971,6.0,19.0,0.2122,6.0,72.0
22,23.0,0.5461,7.0,14.0,0.3859,7.0,18.0,0.2048,7.0,77.0
23,24.0,0.5766,7.0,14.0,0.3901,7.0,18.0,0.2464,7.0,78.0
24,25.0,0.5761,7.0,15.0,0.43,7.0,20.0,0.2078,7.0,82.0
25,26.0,0.4858,7.0,14.0,0.3412,7.0,19.0,0.2189,7.0,74.0
26,27.0,0.5806,6.0,15.0,0.4079,6.0,17.0,0.2069,6.0,81.0
27,28.0,0.5373,7.0,14.0,0.383,7.0,17.0,0.2018,7.0,80.0
28,29.0,0.5442,7.0,15.0,0.4193,7.0,19.0,0.2038,7.0,84.0
29,30.0,0.5836,7.0,13.0,0.3889,7.0,23.0,0.2016,7.0,80.0
30,31.0,0.5732,7.0,14.0,0.3764,7.0,18.0,0.2107,7.0,76.0
31,32.0,0.4639,7.0,13.0,0.3302,7.0,17.0,0.2458,7.0,71.0
32,33.0,0.5547,7.0,14.0,0.396,7.0,20.0,0.1985,7.0,80.0
