,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.0693,4.0,7.0,0.0409,4.0,10.0,0.0096,4.0,24.0
1,2.0,0.0611,5.0,7.0,0.0334,5.0,9.0,0.0076,5.0,20.0
2,3.0,0.0565,5.0,7.0,0.0334,5.0,9.0,0.0086,5.0,19.0
3,4.0,0.0479,5.0,7.0,0.0342,5.0,8.0,0.008,5.0,14.0
4,5.0,0.0501,5.0,6.0,0.0316,5.0,7.0,0.0085,5.0,18.0
5,6.0,0.0854,4.0,7.0,0.0371,4.0,9.0,0.0075,4.0,18.0
6,7.0,0.0502,5.0,6.0,0.0327,5.0,8.0,0.0085,5.0,20.0
7,8.0,0.0531,4.0,6.0,0.0379,4.0,8.0,0.0076,4.0,19.0
8,9.0,0.0767,5.0,7.0,0.0416,5.0,8.0,0.0095,5.0,20.0
9,10.0,0.0907,5.0,7.0,0.0527,5.0,8.0,0.0095,5.0,23.0
10,11.0,0.0627,4.0,6.0,0.0389,4.0,9.0,0.0075,4.0,15.0
11,12.0,0.0633,4.0,7.0,0.0419,4.0,8.0,0.008,4.0,18.0
12,13.0,0.0695,4.0,7.0,0.036,4.0,9.0,0.0066,4.0,19.0
13,14.0,0.0583,4.0,6.0,0.0411,4.0,9.0,0.0106,4.0,18.0
14,15.0,0.066,4.0,7.0,0.0361,4.0,10.0,0.0086,4.0,21.0
15,16.0,0.0726,6.0,6.0,0.0441,6.0,9.0,0.008,6.0,20.0
16,17.0,0.0637,5.0,5.0,0.0383,5.0,8.0,0.008,5.0,22.0
17,18.0,0.0995,4.0,6.0,0.0547,4.0,11.0,0.0075,4.0,20.0
18,19.0,0.0731,4.0,7.0,0.0466,4.0,8.0,0.008,4.0,22.0
19,20.0,0.0461,4.0,6.0,0.0321,4.0,8.0,0.0075,4.0,19.0
20,21.0,0.0622,4.0,8.0,0.0343,4.0,9.0,0.0085,4.0,20.0
21,22.0,0.0578,5.0,6.0,0.0327,5.0,9.0,0.0076,5.0,19.0
22,23.0,0.068,5.0,8.0,0.0371,5.0,9.0,0.0085,5.0,20.0
23,24.0,0.0636,5.0,6.0,0.0426,5.0,9.0,0.0085,5.0,22.0
24,25.0,0.0712,5.0,8.0,0.0391,5.0,10.0,0.0075,5.0,23.0
25,26.0,0.0424,4.0,6.0,0.0282,4.0,8.0,0.0086,4.0,19.0
26,27.0,0.0636,4.0,6.0,0.0394,4.0,8.0,0.0086,4.0,17.0
27,28.0,0.0531,4.0,6.0,0.0335,4.0,10.0,0.0085,4.0,18.0
28,29.0,0.0636,4.0,8.0,0.035,4.0,9.0,0.0075,4.0,20.0
29,30.0,0.1009,4.0,7.0,0.0446,4.0,10.0,0.0085,4.0,19.0
30,31.0,0.0626,4.0,7.0,0.039,4.0,8.0,0.0065,4.0,18.0
31,32.0,0.0577,5.0,6.0,0.0398,5.0,8.0,0.0105,5.0,21.0
32,33.0,0.0712,4.0,6.0,0.0315,4.0,7.0,0.014,4.0,18.0
