iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.2088,4.0,7.0,0.0946,4.0,9.0,0.0413,4.0,38.0
2.0,0.1689,5.0,7.0,0.0935,5.0,7.0,0.0407,5.0,32.0
3.0,0.1614,4.0,7.0,0.0941,4.0,8.0,0.0446,4.0,31.0
4.0,0.171,4.0,7.0,0.0861,4.0,9.0,0.0387,4.0,37.0
5.0,0.1482,4.0,7.0,0.0787,4.0,9.0,0.0413,4.0,31.0
6.0,0.178,4.0,7.0,0.1016,4.0,8.0,0.0506,4.0,36.0
7.0,0.1838,4.0,7.0,0.0958,4.0,9.0,0.0429,4.0,33.0
8.0,0.1808,4.0,6.0,0.0932,4.0,9.0,0.041,4.0,33.0
9.0,0.1749,4.0,7.0,0.103,4.0,8.0,0.0488,4.0,35.0
10.0,0.2094,4.0,7.0,0.1061,4.0,8.0,0.0438,4.0,38.0
11.0,0.202,4.0,7.0,0.0883,4.0,8.0,0.0396,4.0,37.0
12.0,0.1855,5.0,7.0,0.0968,5.0,8.0,0.0431,5.0,30.0
13.0,0.2006,4.0,7.0,0.0995,4.0,9.0,0.039,4.0,36.0
14.0,0.1657,4.0,7.0,0.1296,4.0,8.0,0.0385,4.0,40.0
15.0,0.2101,4.0,7.0,0.0993,4.0,9.0,0.043,4.0,40.0
16.0,0.1871,4.0,7.0,0.1017,4.0,10.0,0.0442,4.0,36.0
17.0,0.2044,4.0,7.0,0.0847,4.0,8.0,0.0434,4.0,27.0
18.0,0.2191,4.0,7.0,0.1043,4.0,9.0,0.0433,4.0,37.0
19.0,0.1866,4.0,7.0,0.0944,4.0,8.0,0.0428,4.0,38.0
20.0,0.174,4.0,7.0,0.0936,4.0,9.0,0.0885,4.0,36.0
21.0,0.1761,4.0,7.0,0.0916,4.0,9.0,0.0392,4.0,36.0
22.0,0.333,4.0,7.0,0.165,4.0,8.0,0.073,4.0,35.0
23.0,0.2388,5.0,8.0,0.106,5.0,10.0,0.0517,5.0,32.0
24.0,0.2388,4.0,6.0,0.0896,4.0,8.0,0.0422,4.0,35.0
25.0,0.2166,5.0,6.0,0.1073,5.0,7.0,0.0451,5.0,37.0
26.0,0.1516,4.0,7.0,0.0852,4.0,9.0,0.0432,4.0,33.0
27.0,0.2254,4.0,7.0,0.0964,4.0,9.0,0.045,4.0,40.0
28.0,0.1773,4.0,7.0,0.0965,4.0,9.0,0.0391,4.0,35.0
29.0,0.1869,5.0,7.0,0.1012,5.0,10.0,0.0472,5.0,37.0
30.0,0.1786,4.0,7.0,0.1471,4.0,9.0,0.0471,4.0,41.0
31.0,0.1684,4.0,6.0,0.0882,4.0,8.0,0.0418,4.0,34.0
32.0,0.1453,4.0,6.0,0.0836,4.0,8.0,0.0446,4.0,33.0
33.0,0.1934,5.0,6.0,0.1071,5.0,8.0,0.0887,5.0,35.0
