iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0197,5.0,3.0,0.0114,5.0,4.0,0.0025,5.0,3.0
2.0,0.0152,5.0,3.0,0.0093,5.0,3.0,0.0032,5.0,3.0
3.0,0.0349,6.0,4.0,0.0236,6.0,6.0,0.005,6.0,4.0
4.0,0.0136,5.0,3.0,0.0082,5.0,4.0,0.0029,5.0,3.0
5.0,0.0214,5.0,3.0,0.014,5.0,5.0,0.0042,5.0,3.0
6.0,0.0224,5.0,3.0,0.015,5.0,3.0,0.0046,5.0,3.0
7.0,0.0264,6.0,3.0,0.0163,6.0,3.0,0.0042,6.0,3.0
8.0,0.0182,5.0,3.0,0.0109,5.0,3.0,0.0027,5.0,3.0
9.0,0.0715,6.0,3.0,0.0172,6.0,4.0,0.0048,6.0,3.0
10.0,0.0201,6.0,3.0,0.0128,6.0,4.0,0.0053,6.0,3.0
11.0,0.0257,5.0,3.0,0.0169,5.0,5.0,0.0033,5.0,3.0
12.0,0.0346,7.0,4.0,0.0233,7.0,6.0,0.0064,7.0,4.0
13.0,0.0194,6.0,3.0,0.0112,6.0,3.0,0.0037,6.0,3.0
14.0,0.026,7.0,4.0,0.0166,7.0,5.0,0.0051,7.0,4.0
15.0,0.024,7.0,4.0,0.0154,7.0,5.0,0.0052,7.0,4.0
16.0,0.0401,7.0,4.0,0.0273,7.0,5.0,0.0076,7.0,4.0
17.0,0.021,5.0,3.0,0.0136,5.0,3.0,0.0045,5.0,3.0
18.0,0.0417,7.0,4.0,0.0275,7.0,5.0,0.0063,7.0,4.0
19.0,0.0264,6.0,4.0,0.0172,6.0,4.0,0.0044,6.0,4.0
20.0,0.0186,5.0,3.0,0.012,5.0,3.0,0.0036,5.0,3.0
21.0,0.054,6.0,4.0,0.0064,6.0,5.0,0.0031,6.0,4.0
22.0,0.0303,7.0,4.0,0.0199,7.0,5.0,0.0057,7.0,4.0
23.0,0.0172,5.0,3.0,0.0118,5.0,3.0,0.0026,5.0,3.0
24.0,0.0366,6.0,4.0,0.0251,6.0,5.0,0.0055,6.0,4.0
25.0,0.0208,5.0,3.0,0.0134,5.0,4.0,0.0039,5.0,3.0
26.0,0.0405,9.0,5.0,0.0293,9.0,6.0,0.0086,9.0,5.0
27.0,0.0118,5.0,3.0,0.0074,5.0,4.0,0.0029,5.0,3.0
28.0,0.0197,4.0,3.0,0.0119,4.0,4.0,0.003,4.0,3.0
29.0,0.0309,6.0,3.0,0.0204,6.0,4.0,0.0053,6.0,3.0
30.0,0.024,5.0,4.0,0.0147,5.0,4.0,0.0037,5.0,4.0
31.0,0.0469,7.0,4.0,0.0338,7.0,6.0,0.0073,7.0,4.0
32.0,0.0224,6.0,3.0,0.0142,6.0,4.0,0.0036,6.0,3.0
33.0,0.0272,7.0,4.0,0.0178,7.0,4.0,0.0049,7.0,4.0
