,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.2558,5.0,9.0,0.1822,5.0,12.0,0.1447,5.0,48.0
1,2.0,0.2325,5.0,10.0,0.1755,5.0,14.0,0.1241,5.0,47.0
2,3.0,0.2388,6.0,11.0,0.1767,6.0,13.0,0.1258,6.0,44.0
3,4.0,0.2245,6.0,11.0,0.1658,6.0,12.0,0.1416,6.0,44.0
4,5.0,0.2211,6.0,10.0,0.1673,6.0,13.0,0.1259,6.0,37.0
5,6.0,0.2719,5.0,10.0,0.1749,5.0,14.0,0.1179,5.0,46.0
6,7.0,0.2473,5.0,10.0,0.2137,5.0,14.0,0.1172,5.0,44.0
7,8.0,0.2494,6.0,11.0,0.1841,6.0,14.0,0.1496,6.0,48.0
8,9.0,0.2235,5.0,11.0,0.1725,5.0,13.0,0.1162,5.0,40.0
9,10.0,0.3017,5.0,9.0,0.1966,5.0,14.0,0.1168,5.0,46.0
10,11.0,0.2317,6.0,10.0,0.1687,6.0,14.0,0.1429,6.0,44.0
11,12.0,0.2309,6.0,10.0,0.1717,6.0,13.0,0.113,6.0,38.0
12,13.0,0.2652,5.0,9.0,0.1959,5.0,12.0,0.1179,5.0,44.0
13,14.0,0.243,5.0,11.0,0.203,5.0,14.0,0.1196,5.0,47.0
14,15.0,0.2657,6.0,9.0,0.1921,6.0,15.0,0.121,6.0,45.0
15,16.0,0.2746,5.0,10.0,0.1789,5.0,14.0,0.1156,5.0,44.0
16,17.0,0.2349,6.0,10.0,0.2007,6.0,13.0,0.1224,6.0,42.0
17,18.0,0.2732,5.0,10.0,0.1964,5.0,13.0,0.1166,5.0,48.0
18,19.0,0.2482,5.0,10.0,0.1807,5.0,16.0,0.1156,5.0,43.0
19,20.0,0.2391,6.0,11.0,0.2089,6.0,12.0,0.1301,6.0,39.0
20,21.0,0.2412,6.0,10.0,0.1738,6.0,14.0,0.1199,6.0,45.0
21,22.0,0.2298,5.0,12.0,0.1759,5.0,13.0,0.1245,5.0,43.0
22,23.0,0.2954,6.0,10.0,0.1964,6.0,14.0,0.1379,6.0,44.0
23,24.0,0.2476,6.0,10.0,0.1871,6.0,12.0,0.1218,6.0,45.0
24,25.0,0.2897,5.0,9.0,0.2108,5.0,11.0,0.1363,5.0,46.0
25,26.0,0.2673,6.0,10.0,0.1723,6.0,14.0,0.134,6.0,38.0
26,27.0,0.2563,5.0,10.0,0.1829,5.0,10.0,0.1167,5.0,43.0
27,28.0,0.2441,6.0,10.0,0.1714,6.0,12.0,0.1131,6.0,48.0
28,29.0,0.2763,6.0,10.0,0.2219,6.0,13.0,0.1342,6.0,49.0
29,30.0,0.2768,6.0,10.0,0.2168,6.0,12.0,0.1513,6.0,45.0
30,31.0,0.2501,5.0,10.0,0.1811,5.0,14.0,0.1307,5.0,42.0
31,32.0,0.2904,6.0,10.0,0.1789,6.0,13.0,0.1537,6.0,38.0
32,33.0,0.2956,6.0,11.0,0.2642,6.0,15.0,0.1357,6.0,45.0
