iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.1702,5.0,9.0,0.0931,5.0,13.0,0.0513,5.0,42.0
2.0,0.1451,6.0,10.0,0.0846,6.0,12.0,0.0491,6.0,38.0
3.0,0.1536,6.0,11.0,0.0887,6.0,13.0,0.092,6.0,39.0
4.0,0.1492,6.0,10.0,0.0884,6.0,13.0,0.0519,6.0,35.0
5.0,0.1325,6.0,10.0,0.0859,6.0,12.0,0.0541,6.0,34.0
6.0,0.1647,5.0,9.0,0.091,5.0,14.0,0.0504,5.0,41.0
7.0,0.1525,5.0,9.0,0.0942,5.0,11.0,0.0918,5.0,38.0
8.0,0.1575,5.0,9.0,0.0897,5.0,13.0,0.0512,5.0,45.0
9.0,0.1546,5.0,9.0,0.0878,5.0,13.0,0.0502,5.0,35.0
10.0,0.1748,6.0,9.0,0.1085,6.0,12.0,0.0551,6.0,43.0
11.0,0.1866,6.0,10.0,0.0877,6.0,14.0,0.0502,6.0,35.0
12.0,0.1566,6.0,10.0,0.0985,6.0,12.0,0.046,6.0,31.0
13.0,0.1774,5.0,9.0,0.0951,5.0,12.0,0.0485,5.0,39.0
14.0,0.1476,5.0,10.0,0.0878,5.0,14.0,0.0505,5.0,42.0
15.0,0.2339,6.0,9.0,0.0986,6.0,13.0,0.0569,6.0,40.0
16.0,0.1692,6.0,10.0,0.0962,6.0,12.0,0.0541,6.0,38.0
17.0,0.1375,6.0,9.0,0.0807,6.0,12.0,0.0503,6.0,36.0
18.0,0.191,5.0,10.0,0.101,5.0,15.0,0.0556,5.0,41.0
19.0,0.1804,6.0,10.0,0.0937,6.0,14.0,0.0552,6.0,39.0
20.0,0.1517,6.0,10.0,0.0923,6.0,12.0,0.0593,6.0,36.0
21.0,0.1642,6.0,10.0,0.0913,6.0,13.0,0.0538,6.0,41.0
22.0,0.1487,5.0,9.0,0.0916,5.0,12.0,0.098,5.0,35.0
23.0,0.1627,6.0,10.0,0.1003,6.0,12.0,0.0644,6.0,39.0
24.0,0.1749,6.0,10.0,0.0916,6.0,11.0,0.0538,6.0,36.0
25.0,0.2992,5.0,9.0,0.1823,5.0,11.0,0.1019,5.0,42.0
26.0,0.2698,6.0,10.0,0.1201,6.0,13.0,0.1006,6.0,30.0
27.0,0.2193,5.0,9.0,0.1032,5.0,10.0,0.0776,5.0,39.0
28.0,0.1809,6.0,9.0,0.0979,6.0,11.0,0.0524,6.0,39.0
29.0,0.1634,6.0,10.0,0.0981,6.0,13.0,0.0553,6.0,43.0
30.0,0.1961,6.0,9.0,0.0932,6.0,12.0,0.054,6.0,38.0
31.0,0.1541,6.0,9.0,0.0836,6.0,12.0,0.0529,6.0,35.0
32.0,0.1347,5.0,9.0,0.0814,5.0,12.0,0.053,5.0,31.0
33.0,0.1701,6.0,10.0,0.0987,6.0,14.0,0.0599,6.0,42.0
