iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0999,23.0,68.0,0.0825,23.0,70.0,0.0666,23.0,88.0
2.0,0.0845,26.0,66.0,0.0663,26.0,67.0,0.0582,26.0,92.0
3.0,0.1341,22.0,57.0,0.0794,22.0,62.0,0.0659,22.0,81.0
4.0,0.0831,20.0,62.0,0.0629,20.0,67.0,0.0554,20.0,87.0
5.0,0.0925,22.0,69.0,0.1166,22.0,74.0,0.0642,22.0,91.0
6.0,0.0803,20.0,61.0,0.0632,20.0,65.0,0.0547,20.0,79.0
7.0,0.0813,20.0,62.0,0.0639,20.0,64.0,0.0567,20.0,79.0
8.0,0.1331,19.0,64.0,0.0767,19.0,69.0,0.0654,19.0,85.0
9.0,0.0907,24.0,54.0,0.0734,24.0,62.0,0.0651,24.0,71.0
10.0,0.0724,19.0,66.0,0.0552,19.0,69.0,0.0875,19.0,86.0
11.0,0.0953,23.0,57.0,0.0761,23.0,58.0,0.0688,23.0,75.0
12.0,0.0966,21.0,62.0,0.0799,21.0,67.0,0.1085,21.0,82.0
13.0,0.0884,21.0,62.0,0.0712,21.0,67.0,0.0631,21.0,79.0
14.0,0.0781,17.0,53.0,0.0603,17.0,56.0,0.0527,17.0,76.0
15.0,0.1267,25.0,75.0,0.07,25.0,75.0,0.058,25.0,91.0
16.0,0.0875,21.0,60.0,0.0703,21.0,65.0,0.0618,21.0,87.0
17.0,0.0944,20.0,56.0,0.1213,20.0,61.0,0.0684,20.0,81.0
18.0,0.0835,21.0,59.0,0.066,21.0,62.0,0.0599,21.0,86.0
19.0,0.0789,19.0,60.0,0.0711,19.0,65.0,0.0601,19.0,84.0
20.0,0.133,19.0,58.0,0.0663,19.0,63.0,0.0989,19.0,81.0
21.0,0.1833,23.0,71.0,0.1405,23.0,75.0,0.1211,23.0,88.0
22.0,0.1859,27.0,69.0,0.1408,27.0,72.0,0.1547,27.0,95.0
23.0,0.0904,23.0,68.0,0.0636,23.0,73.0,0.0597,23.0,88.0
24.0,0.0802,19.0,62.0,0.0641,19.0,65.0,0.0611,19.0,86.0
25.0,0.0754,18.0,66.0,0.057,18.0,70.0,0.0958,18.0,93.0
26.0,0.0892,21.0,66.0,0.0707,21.0,69.0,0.0689,21.0,85.0
27.0,0.0818,20.0,62.0,0.0639,20.0,64.0,0.0617,20.0,85.0
28.0,0.074,18.0,66.0,0.0966,18.0,71.0,0.0558,18.0,83.0
29.0,0.0952,25.0,67.0,0.0769,25.0,73.0,0.0788,25.0,84.0
30.0,0.0834,19.0,71.0,0.0649,19.0,77.0,0.0644,19.0,88.0
31.0,0.1242,19.0,64.0,0.069,19.0,66.0,0.0651,19.0,86.0
32.0,0.0686,20.0,83.0,0.0625,20.0,85.0,0.0413,20.0,99.0
33.0,0.0879,18.0,62.0,0.0659,18.0,63.0,0.0571,18.0,85.0
