iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0276,10.0,21.0,0.0159,10.0,25.0,0.0123,10.0,33.0
2.0,0.0227,11.0,21.0,0.0128,11.0,23.0,0.0102,11.0,31.0
3.0,0.0222,10.0,19.0,0.014,10.0,22.0,0.012,10.0,26.0
4.0,0.0226,9.0,21.0,0.0133,9.0,23.0,0.0106,9.0,28.0
5.0,0.0228,10.0,21.0,0.0143,10.0,26.0,0.0116,10.0,29.0
6.0,0.0198,9.0,19.0,0.0118,9.0,21.0,0.01,9.0,27.0
7.0,0.0213,9.0,20.0,0.0123,9.0,23.0,0.0098,9.0,30.0
8.0,0.0219,9.0,20.0,0.0134,9.0,21.0,0.0109,9.0,28.0
9.0,0.0224,12.0,20.0,0.0139,12.0,20.0,0.0112,12.0,28.0
10.0,0.0173,8.0,20.0,0.0101,8.0,23.0,0.0079,8.0,29.0
11.0,0.0217,11.0,19.0,0.0139,11.0,19.0,0.0114,11.0,28.0
12.0,0.0237,10.0,19.0,0.0146,10.0,19.0,0.0124,10.0,29.0
13.0,0.0217,10.0,18.0,0.0132,10.0,21.0,0.0121,10.0,29.0
14.0,0.0187,8.0,17.0,0.0112,8.0,17.0,0.0093,8.0,26.0
15.0,0.0214,12.0,27.0,0.0132,12.0,29.0,0.0104,12.0,37.0
16.0,0.0225,10.0,21.0,0.0142,10.0,23.0,0.0116,10.0,32.0
17.0,0.0233,9.0,17.0,0.015,9.0,17.0,0.0127,9.0,28.0
18.0,0.0218,10.0,19.0,0.0117,10.0,19.0,0.0098,10.0,32.0
19.0,0.0193,8.0,20.0,0.0114,8.0,20.0,0.0092,8.0,27.0
20.0,0.0202,8.0,19.0,0.013,8.0,21.0,0.0096,8.0,27.0
21.0,0.0228,10.0,22.0,0.013,10.0,23.0,0.0108,10.0,35.0
22.0,0.0215,12.0,21.0,0.0138,12.0,21.0,0.0111,12.0,31.0
23.0,0.0203,10.0,23.0,0.0122,10.0,25.0,0.0094,10.0,32.0
24.0,0.0205,8.0,21.0,0.0122,8.0,22.0,0.0099,8.0,32.0
25.0,0.0187,8.0,21.0,0.0104,8.0,23.0,0.008,8.0,29.0
26.0,0.0205,9.0,22.0,0.0127,9.0,22.0,0.0106,9.0,33.0
27.0,0.02,9.0,20.0,0.0122,9.0,23.0,0.01,9.0,31.0
28.0,0.0184,8.0,23.0,0.011,8.0,23.0,0.0086,8.0,31.0
29.0,0.0235,11.0,22.0,0.0149,11.0,24.0,0.0122,11.0,29.0
30.0,0.0212,8.0,21.0,0.0119,8.0,23.0,0.0094,8.0,31.0
31.0,0.0196,9.0,20.0,0.0118,9.0,23.0,0.0096,9.0,30.0
32.0,0.0177,8.0,24.0,0.0101,8.0,26.0,0.0077,8.0,39.0
33.0,0.0202,8.0,19.0,0.0138,8.0,22.0,0.0105,8.0,30.0
