iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.045,4.0,8.0,0.0292,4.0,9.0,0.0271,4.0,12.0
2.0,0.0465,5.0,8.0,0.0309,5.0,9.0,0.0274,5.0,12.0
3.0,0.0441,4.0,8.0,0.0274,4.0,10.0,0.0257,4.0,13.0
4.0,0.0444,4.0,8.0,0.026,4.0,9.0,0.0226,4.0,12.0
5.0,0.0438,4.0,8.0,0.0285,4.0,8.0,0.0256,4.0,13.0
6.0,0.0469,4.0,8.0,0.029,4.0,10.0,0.0248,4.0,13.0
7.0,0.0433,4.0,8.0,0.0284,4.0,9.0,0.0258,4.0,12.0
8.0,0.0461,4.0,8.0,0.0285,4.0,8.0,0.0249,4.0,12.0
9.0,0.044,5.0,8.0,0.071,5.0,9.0,0.028,5.0,11.0
10.0,0.0446,5.0,8.0,0.0288,5.0,9.0,0.0258,5.0,12.0
11.0,0.0436,5.0,8.0,0.0291,5.0,9.0,0.0262,5.0,14.0
12.0,0.0462,4.0,8.0,0.0264,4.0,9.0,0.023,4.0,11.0
13.0,0.0405,4.0,8.0,0.0257,4.0,10.0,0.0229,4.0,12.0
14.0,0.0427,4.0,8.0,0.0267,4.0,9.0,0.0221,4.0,13.0
15.0,0.0444,4.0,8.0,0.0295,4.0,10.0,0.0254,4.0,12.0
16.0,0.0472,4.0,8.0,0.0292,4.0,9.0,0.0249,4.0,11.0
17.0,0.0428,4.0,8.0,0.0279,4.0,8.0,0.025,4.0,11.0
18.0,0.0425,4.0,8.0,0.0245,4.0,8.0,0.0213,4.0,12.0
19.0,0.0433,4.0,8.0,0.0279,4.0,9.0,0.0252,4.0,12.0
20.0,0.0474,4.0,8.0,0.0306,4.0,8.0,0.0246,4.0,12.0
21.0,0.0428,4.0,8.0,0.0287,4.0,9.0,0.0244,4.0,14.0
22.0,0.04,5.0,8.0,0.0258,5.0,8.0,0.0223,5.0,11.0
23.0,0.0421,4.0,8.0,0.0272,4.0,9.0,0.0234,4.0,15.0
24.0,0.0472,4.0,8.0,0.0319,4.0,8.0,0.0263,4.0,12.0
25.0,0.046,5.0,8.0,0.0303,5.0,8.0,0.0275,5.0,12.0
26.0,0.0432,4.0,8.0,0.0264,4.0,9.0,0.0234,4.0,13.0
27.0,0.0403,4.0,7.0,0.0271,4.0,7.0,0.0232,4.0,12.0
28.0,0.0455,5.0,8.0,0.0292,5.0,10.0,0.0234,5.0,15.0
29.0,0.045,5.0,8.0,0.0293,5.0,9.0,0.0272,5.0,12.0
30.0,0.0431,4.0,8.0,0.0262,4.0,8.0,0.0219,4.0,12.0
31.0,0.0439,4.0,8.0,0.0282,4.0,10.0,0.0254,4.0,13.0
32.0,0.0439,4.0,8.0,0.0271,4.0,9.0,0.0231,4.0,12.0
33.0,0.0854,5.0,8.0,0.0304,5.0,10.0,0.0274,5.0,12.0
