iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.1611,21.0,70.0,0.1312,21.0,78.0,0.1066,21.0,106.0
2.0,0.1759,22.0,67.0,0.1077,22.0,73.0,0.0865,22.0,110.0
3.0,0.1368,20.0,70.0,0.1116,20.0,75.0,0.0907,20.0,106.0
4.0,0.1765,20.0,75.0,0.1059,20.0,84.0,0.0827,20.0,116.0
5.0,0.1481,19.0,73.0,0.1166,19.0,82.0,0.093,19.0,106.0
6.0,0.1746,18.0,70.0,0.1047,18.0,78.0,0.0828,18.0,111.0
7.0,0.136,19.0,62.0,0.109,19.0,70.0,0.0873,19.0,98.0
8.0,0.1756,17.0,65.0,0.1089,17.0,75.0,0.0881,17.0,103.0
9.0,0.1512,21.0,60.0,0.1195,21.0,68.0,0.1381,21.0,91.0
10.0,0.1442,21.0,69.0,0.1179,21.0,75.0,0.0937,21.0,109.0
11.0,0.1383,21.0,70.0,0.1115,21.0,75.0,0.1306,21.0,106.0
12.0,0.136,18.0,64.0,0.1109,18.0,73.0,0.0905,18.0,100.0
13.0,0.1253,19.0,74.0,0.0995,19.0,79.0,0.1173,19.0,110.0
14.0,0.1211,15.0,70.0,0.0963,15.0,75.0,0.0777,15.0,109.0
15.0,0.1401,22.0,78.0,0.1134,22.0,87.0,0.129,22.0,114.0
16.0,0.1383,19.0,59.0,0.1111,19.0,67.0,0.0946,19.0,95.0
17.0,0.1414,17.0,66.0,0.1147,17.0,72.0,0.134,17.0,100.0
18.0,0.1412,18.0,69.0,0.1162,18.0,72.0,0.0921,18.0,105.0
19.0,0.1289,19.0,64.0,0.1029,19.0,71.0,0.1231,19.0,98.0
20.0,0.1402,17.0,70.0,0.1117,17.0,76.0,0.0901,17.0,101.0
21.0,0.1492,21.0,72.0,0.1618,21.0,77.0,0.1016,21.0,103.0
22.0,0.145,23.0,70.0,0.1166,23.0,77.0,0.1167,23.0,104.0
23.0,0.1666,20.0,68.0,0.272,20.0,72.0,0.1869,20.0,108.0
24.0,0.2792,17.0,64.0,0.2022,17.0,74.0,0.1296,17.0,103.0
25.0,0.1933,22.0,68.0,0.1086,22.0,76.0,0.0848,22.0,104.0
26.0,0.1365,19.0,72.0,0.1086,19.0,79.0,0.0871,19.0,113.0
27.0,0.1758,18.0,68.0,0.1064,18.0,78.0,0.0846,18.0,102.0
28.0,0.1212,15.0,70.0,0.0944,15.0,76.0,0.0755,15.0,102.0
29.0,0.1902,22.0,70.0,0.1209,22.0,77.0,0.0967,22.0,100.0
30.0,0.1451,18.0,67.0,0.1193,18.0,76.0,0.0965,18.0,107.0
31.0,0.169,17.0,73.0,0.1042,17.0,79.0,0.0814,17.0,115.0
32.0,0.1399,18.0,79.0,0.0996,18.0,84.0,0.0774,18.0,125.0
33.0,0.1807,21.0,67.0,0.1134,21.0,78.0,0.0904,21.0,106.0
