iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0345,6.0,11.0,0.0152,6.0,13.0,0.0093,6.0,24.0
2.0,0.0277,6.0,11.0,0.0123,6.0,13.0,0.0078,6.0,24.0
3.0,0.0272,6.0,9.0,0.013,6.0,10.0,0.0075,6.0,19.0
4.0,0.0276,6.0,10.0,0.0138,6.0,13.0,0.0089,6.0,23.0
5.0,0.0282,6.0,11.0,0.0135,6.0,13.0,0.0086,6.0,23.0
6.0,0.0252,6.0,10.0,0.0121,6.0,12.0,0.0076,6.0,25.0
7.0,0.0249,6.0,10.0,0.0114,6.0,15.0,0.0066,6.0,22.0
8.0,0.0245,6.0,10.0,0.0123,6.0,13.0,0.0081,6.0,25.0
9.0,0.0277,6.0,9.0,0.0135,6.0,11.0,0.0081,6.0,18.0
10.0,0.0257,6.0,11.0,0.0128,6.0,13.0,0.0079,6.0,23.0
11.0,0.0279,6.0,9.0,0.0129,6.0,10.0,0.0074,6.0,21.0
12.0,0.0282,6.0,11.0,0.0133,6.0,12.0,0.0089,6.0,24.0
13.0,0.0293,6.0,11.0,0.0128,6.0,13.0,0.0076,6.0,21.0
14.0,0.0651,6.0,8.0,0.0111,6.0,10.0,0.0079,6.0,18.0
15.0,0.0245,6.0,12.0,0.0116,6.0,13.0,0.0071,6.0,26.0
16.0,0.0281,6.0,10.0,0.0134,6.0,12.0,0.0082,6.0,22.0
17.0,0.0256,5.0,9.0,0.0118,5.0,11.0,0.0069,5.0,18.0
18.0,0.0253,6.0,9.0,0.0115,6.0,12.0,0.0071,6.0,23.0
19.0,0.0244,5.0,10.0,0.0115,5.0,12.0,0.0072,5.0,22.0
20.0,0.0238,5.0,9.0,0.0117,5.0,11.0,0.0075,5.0,21.0
21.0,0.0295,6.0,11.0,0.0125,6.0,12.0,0.0074,6.0,25.0
22.0,0.0304,6.0,9.0,0.0139,6.0,13.0,0.0082,6.0,24.0
23.0,0.0257,6.0,12.0,0.011,6.0,15.0,0.0068,6.0,25.0
24.0,0.027,6.0,10.0,0.0122,6.0,12.0,0.0082,6.0,26.0
25.0,0.0301,6.0,10.0,0.0139,6.0,12.0,0.0085,6.0,25.0
26.0,0.0288,6.0,10.0,0.0121,6.0,11.0,0.0074,6.0,22.0
27.0,0.0255,6.0,10.0,0.0113,6.0,12.0,0.0071,6.0,21.0
28.0,0.0225,6.0,11.0,0.0109,6.0,13.0,0.0072,6.0,24.0
29.0,0.0283,6.0,12.0,0.0131,6.0,14.0,0.0079,6.0,24.0
30.0,0.0293,6.0,12.0,0.0138,6.0,15.0,0.0082,6.0,25.0
31.0,0.0254,5.0,11.0,0.0112,5.0,14.0,0.0074,5.0,22.0
32.0,0.0253,6.0,13.0,0.0123,6.0,15.0,0.0086,6.0,27.0
33.0,0.0278,5.0,10.0,0.0126,5.0,15.0,0.0087,5.0,21.0
