iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.4948,12.0,40.0,0.2869,12.0,50.0,0.1994,12.0,120.0
2.0,0.4222,12.0,39.0,0.2782,12.0,50.0,0.2377,12.0,124.0
3.0,0.4096,12.0,42.0,0.2631,12.0,52.0,0.2242,12.0,123.0
4.0,0.4297,12.0,42.0,0.3329,12.0,57.0,0.2042,12.0,131.0
5.0,0.54,12.0,42.0,0.2883,12.0,54.0,0.2002,12.0,122.0
6.0,0.4605,12.0,40.0,0.2706,12.0,52.0,0.1886,12.0,117.0
7.0,0.4643,12.0,40.0,0.2735,12.0,49.0,0.1902,12.0,115.0
8.0,0.428,12.0,40.0,0.2786,12.0,49.0,0.1932,12.0,121.0
9.0,0.4405,12.0,40.0,0.2847,12.0,50.0,0.2456,12.0,118.0
10.0,0.4362,12.0,41.0,0.2894,12.0,51.0,0.2458,12.0,120.0
11.0,0.4322,12.0,42.0,0.3468,12.0,56.0,0.3518,12.0,131.0
12.0,0.8111,12.0,41.0,0.4026,12.0,54.0,0.2546,12.0,122.0
13.0,0.4894,11.0,41.0,0.2704,11.0,52.0,0.1892,11.0,119.0
14.0,0.4277,12.0,43.0,0.2765,12.0,56.0,0.2363,12.0,129.0
15.0,0.4283,12.0,42.0,0.274,12.0,57.0,0.227,12.0,127.0
16.0,0.448,12.0,39.0,0.3307,12.0,50.0,0.2048,12.0,119.0
17.0,0.4365,12.0,37.0,0.253,12.0,44.0,0.1763,12.0,114.0
18.0,0.4692,12.0,41.0,0.2708,12.0,51.0,0.1881,12.0,118.0
19.0,0.4725,12.0,40.0,0.2699,12.0,53.0,0.1877,12.0,121.0
20.0,0.4238,12.0,42.0,0.2769,12.0,51.0,0.2341,12.0,121.0
21.0,0.4138,12.0,41.0,0.3113,12.0,53.0,0.1815,12.0,126.0
22.0,0.4435,12.0,40.0,0.3252,12.0,56.0,0.1964,12.0,115.0
23.0,0.4645,12.0,39.0,0.2774,12.0,51.0,0.1906,12.0,126.0
24.0,0.4562,11.0,38.0,0.2747,11.0,46.0,0.1952,11.0,115.0
25.0,0.4332,12.0,40.0,0.2874,12.0,52.0,0.243,12.0,129.0
26.0,0.451,12.0,41.0,0.3228,12.0,52.0,0.1959,12.0,129.0
27.0,0.4675,11.0,40.0,0.2689,11.0,50.0,0.188,11.0,118.0
28.0,0.4437,12.0,41.0,0.263,12.0,51.0,0.1817,12.0,123.0
29.0,0.4295,12.0,43.0,0.2834,12.0,52.0,0.2369,12.0,131.0
30.0,0.4232,11.0,40.0,0.2829,11.0,51.0,0.2382,11.0,119.0
31.0,0.4007,11.0,39.0,0.3044,11.0,51.0,0.1791,11.0,119.0
32.0,0.4299,12.0,41.0,0.3233,12.0,51.0,0.1888,12.0,127.0
33.0,0.4719,12.0,40.0,0.2807,12.0,52.0,0.1943,12.0,115.0
