iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.3159,10.0,30.0,0.2455,10.0,40.0,0.1411,10.0,93.0
2.0,0.3085,10.0,29.0,0.1975,10.0,37.0,0.1819,10.0,91.0
3.0,0.295,10.0,31.0,0.1855,10.0,38.0,0.129,10.0,96.0
4.0,0.358,10.0,32.0,0.2051,10.0,42.0,0.141,10.0,94.0
5.0,0.3145,10.0,31.0,0.246,10.0,38.0,0.1425,10.0,95.0
6.0,0.3047,10.0,30.0,0.1929,10.0,38.0,0.1784,10.0,86.0
7.0,0.3163,10.0,30.0,0.1949,10.0,36.0,0.138,10.0,92.0
8.0,0.346,10.0,29.0,0.1935,10.0,36.0,0.1377,10.0,91.0
9.0,0.3185,10.0,32.0,0.2436,10.0,35.0,0.1444,10.0,87.0
10.0,0.3135,10.0,30.0,0.2573,10.0,38.0,0.1967,10.0,95.0
11.0,0.598,10.0,31.0,0.3113,10.0,41.0,0.15,10.0,98.0
12.0,0.3466,10.0,31.0,0.1898,10.0,41.0,0.1316,10.0,93.0
13.0,0.2995,10.0,30.0,0.2372,10.0,41.0,0.1332,10.0,93.0
14.0,0.2997,10.0,32.0,0.1917,10.0,40.0,0.1766,10.0,99.0
15.0,0.3031,10.0,32.0,0.1936,10.0,39.0,0.131,10.0,98.0
16.0,0.3673,10.0,31.0,0.2024,10.0,41.0,0.1432,10.0,93.0
17.0,0.2992,10.0,28.0,0.2292,10.0,39.0,0.1284,10.0,87.0
18.0,0.2993,10.0,31.0,0.1897,10.0,40.0,0.1334,10.0,96.0
19.0,0.3279,10.0,30.0,0.1928,10.0,37.0,0.1364,10.0,89.0
20.0,0.3664,10.0,31.0,0.2058,10.0,41.0,0.1375,10.0,97.0
21.0,0.3206,10.0,31.0,0.238,10.0,40.0,0.1355,10.0,93.0
22.0,0.3077,10.0,31.0,0.199,10.0,37.0,0.1837,10.0,93.0
23.0,0.3152,10.0,29.0,0.1968,10.0,37.0,0.1358,10.0,92.0
24.0,0.3022,10.0,29.0,0.1906,10.0,36.0,0.1404,10.0,85.0
25.0,0.3167,10.0,31.0,0.2428,10.0,40.0,0.1391,10.0,93.0
26.0,0.3127,10.0,30.0,0.2397,10.0,38.0,0.1403,10.0,92.0
27.0,0.3018,9.0,30.0,0.1981,9.0,40.0,0.1764,9.0,94.0
28.0,0.2881,10.0,32.0,0.1817,10.0,41.0,0.1233,10.0,91.0
29.0,0.3541,10.0,31.0,0.1982,10.0,38.0,0.1371,10.0,101.0
30.0,0.3127,9.0,29.0,0.207,9.0,37.0,0.1842,9.0,97.0
31.0,0.298,9.0,29.0,0.1842,9.0,40.0,0.127,9.0,89.0
32.0,0.3462,10.0,30.0,0.1913,10.0,40.0,0.1344,10.0,94.0
33.0,0.3186,10.0,29.0,0.2397,10.0,38.0,0.1378,10.0,94.0
