iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.9889,12.0,43.0,0.7037,12.0,54.0,0.5247,12.0,147.0
2.0,0.9768,12.0,45.0,0.6978,12.0,58.0,0.529,12.0,143.0
3.0,0.982,12.0,46.0,0.7181,12.0,61.0,0.5552,12.0,151.0
4.0,1.5958,12.0,47.0,0.6783,12.0,62.0,0.5515,12.0,157.0
5.0,1.0592,12.0,44.0,0.699,12.0,57.0,0.5671,12.0,148.0
6.0,0.9996,12.0,45.0,0.6703,12.0,57.0,0.5424,12.0,149.0
7.0,1.0012,12.0,44.0,0.7013,12.0,56.0,0.4863,12.0,141.0
8.0,1.0007,12.0,46.0,0.7208,12.0,57.0,0.5335,12.0,148.0
9.0,0.9808,12.0,44.0,0.7203,12.0,57.0,0.5406,12.0,149.0
10.0,0.9662,12.0,43.0,0.695,12.0,58.0,0.526,12.0,141.0
11.0,0.9066,12.0,45.0,0.6907,12.0,60.0,0.5167,12.0,149.0
12.0,0.9177,12.0,44.0,0.6976,12.0,57.0,0.5234,12.0,150.0
13.0,0.9324,12.0,44.0,0.6993,12.0,59.0,0.5316,12.0,151.0
14.0,0.9913,12.0,46.0,0.671,12.0,61.0,0.5383,12.0,157.0
15.0,0.9853,12.0,45.0,0.674,12.0,57.0,0.5341,12.0,158.0
16.0,1.0505,12.0,45.0,0.694,12.0,58.0,0.5713,12.0,149.0
17.0,0.9768,12.0,43.0,0.6508,12.0,54.0,0.5286,12.0,139.0
18.0,0.9844,12.0,46.0,0.6584,12.0,58.0,0.5395,12.0,148.0
19.0,0.9962,12.0,44.0,0.7152,12.0,56.0,0.4923,12.0,144.0
20.0,1.0226,12.0,44.0,0.7142,12.0,53.0,0.4861,12.0,148.0
21.0,1.0073,12.0,44.0,0.7279,12.0,58.0,0.5441,12.0,144.0
22.0,1.0326,12.0,44.0,0.7482,12.0,56.0,0.5725,12.0,140.0
23.0,0.967,12.0,44.0,0.72,12.0,58.0,0.5433,12.0,151.0
24.0,0.9893,12.0,44.0,0.6692,12.0,54.0,0.5462,12.0,144.0
25.0,1.0098,12.0,45.0,0.6874,12.0,55.0,0.5504,12.0,151.0
26.0,0.9933,12.0,43.0,0.7207,12.0,56.0,0.5472,12.0,140.0
27.0,0.9782,12.0,43.0,0.7084,12.0,58.0,0.5369,12.0,147.0
28.0,0.9509,12.0,46.0,0.6417,12.0,59.0,0.5153,12.0,152.0
29.0,1.0631,12.0,46.0,0.6975,12.0,58.0,0.5553,12.0,153.0
30.0,1.008,12.0,44.0,0.7344,12.0,55.0,0.5561,12.0,147.0
31.0,0.9436,12.0,44.0,0.6797,12.0,59.0,0.5031,12.0,137.0
32.0,0.9577,12.0,44.0,0.6931,12.0,57.0,0.5158,12.0,152.0
33.0,0.9881,12.0,45.0,0.7132,12.0,58.0,0.5379,12.0,147.0
