iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0927,4.0,9.0,0.0496,4.0,10.0,0.0351,4.0,24.0
2.0,0.0915,4.0,9.0,0.0482,4.0,9.0,0.0343,4.0,25.0
3.0,0.0885,4.0,9.0,0.0469,4.0,10.0,0.0319,4.0,24.0
4.0,0.0886,4.0,8.0,0.0504,4.0,9.0,0.0371,4.0,27.0
5.0,0.0915,4.0,9.0,0.0905,4.0,9.0,0.0353,4.0,25.0
6.0,0.0827,4.0,9.0,0.0466,4.0,9.0,0.0343,4.0,24.0
7.0,0.0905,4.0,9.0,0.0478,4.0,10.0,0.0341,4.0,21.0
8.0,0.0873,4.0,7.0,0.0485,4.0,8.0,0.0356,4.0,22.0
9.0,0.0928,4.0,9.0,0.0507,4.0,10.0,0.0363,4.0,27.0
10.0,0.0917,4.0,8.0,0.051,4.0,9.0,0.0369,4.0,23.0
11.0,0.1245,4.0,9.0,0.0476,4.0,9.0,0.0351,4.0,27.0
12.0,0.0875,4.0,9.0,0.0478,4.0,9.0,0.0337,4.0,25.0
13.0,0.0861,4.0,9.0,0.0477,4.0,9.0,0.0354,4.0,23.0
14.0,0.0838,4.0,9.0,0.0462,4.0,9.0,0.0347,4.0,25.0
15.0,0.0909,4.0,9.0,0.0467,4.0,9.0,0.0332,4.0,27.0
16.0,0.0882,4.0,8.0,0.0506,4.0,8.0,0.0368,4.0,24.0
17.0,0.1283,4.0,8.0,0.0457,4.0,9.0,0.033,4.0,22.0
18.0,0.0853,4.0,9.0,0.0475,4.0,9.0,0.035,4.0,25.0
19.0,0.0924,4.0,9.0,0.0471,4.0,10.0,0.0334,4.0,23.0
20.0,0.0874,4.0,9.0,0.0478,4.0,9.0,0.0344,4.0,27.0
21.0,0.0935,4.0,9.0,0.047,4.0,9.0,0.0331,4.0,22.0
22.0,0.0838,4.0,8.0,0.0488,4.0,9.0,0.0337,4.0,21.0
23.0,0.1321,4.0,9.0,0.048,4.0,9.0,0.0345,4.0,27.0
24.0,0.0876,4.0,8.0,0.0487,4.0,8.0,0.0344,4.0,24.0
25.0,0.0954,4.0,8.0,0.0505,4.0,8.0,0.036,4.0,27.0
26.0,0.0868,4.0,8.0,0.0496,4.0,10.0,0.0367,4.0,23.0
27.0,0.0903,4.0,8.0,0.047,4.0,9.0,0.0351,4.0,26.0
28.0,0.0809,4.0,9.0,0.0444,4.0,9.0,0.031,4.0,24.0
29.0,0.1338,4.0,9.0,0.0496,4.0,10.0,0.0347,4.0,24.0
30.0,0.0847,4.0,9.0,0.0467,4.0,9.0,0.0339,4.0,24.0
31.0,0.0912,4.0,8.0,0.0466,4.0,9.0,0.0334,4.0,22.0
32.0,0.083,4.0,9.0,0.0467,4.0,9.0,0.0341,4.0,25.0
33.0,0.0942,4.0,9.0,0.0494,4.0,9.0,0.0355,4.0,25.0
