combo,label,ecc_opt,ecc_opt_std
0,"t=15
n=2",5.212121212121212,0.40881022918884974
1,"t=15
n=4",3.0303030303030303,0.17141982574219336
2,"t=15
n=6",2.0,0.0
3,"t=20
n=2",6.7272727272727275,0.4453617714151233
4,"t=20
n=4",4.0,0.0
5,"t=20
n=6",2.8484848484848486,0.3585502898848252
