side,opt,e_sc_mept,e_t_mept,opt_std,e_sc_mept_std,e_t_mept_std
4.0,8.0,10.090909090909092,13.393939393939394,0.0,0.7119600075436807,0.8855538906789369
6.0,17.848484848484848,18.939393939393938,30.848484848484848,0.35855028988482524,0.9515344526125807,1.416808451825571
7.0,23.818181818181817,25.575757575757574,41.81818181818182,0.385694607919935,1.5181787939242848,2.0368505911280073
8.0,31.545454545454547,34.0,53.78787878787879,0.6555547773570889,1.5374122295716148,2.2395559050790155
10.0,48.24242424242424,53.03030303030303,80.81818181818181,1.2799219443601744,2.2222681354301943,4.195629366987028
12.0,69.36363636363636,78.63636363636364,119.33333333333333,1.610913195151759,3.11222595793158,5.067224849635911
14.0,93.0,108.0,162.15151515151516,2.160246899469287,3.3393884397468874,6.150246174532056
15.0,104.93939393939394,120.72727272727273,183.3030303030303,2.604650781447794,3.711348095126027,6.032662854850571
16.0,118.6969696969697,138.72727272727272,209.54545454545453,2.575935822709504,4.099317957111722,6.329780067465168
