combo,ecc_opt,ecc_opt_std
0,6.787878787878788,0.5369710650505863
1,10.181818181818182,0.6254474981984937
2,13.212121212121213,0.7285342594043217
3,16.90909090909091,0.8656276883082242
4,3.0,0.0
5,5.0,0.0
6,7.0,0.0
7,9.0,0.0
