,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
233,3.0,0.0078,3.0,5.0,0.0046,3.0,5.0,0.0041,3.0,5.0
234,4.0,0.0072,3.0,5.0,0.0046,3.0,5.0,0.0045,3.0,5.0
235,5.0,0.0081,3.0,5.0,0.005,3.0,5.0,0.0047,3.0,5.0
236,6.0,0.0092,3.0,5.0,0.0055,3.0,5.0,0.0048,3.0,5.0
237,7.0,0.009,3.0,5.0,0.0048,3.0,5.0,0.0047,3.0,5.0
238,8.0,0.0087,3.0,5.0,0.0058,3.0,5.0,0.0053,3.0,5.0
239,9.0,0.0106,3.0,5.0,0.0059,3.0,5.0,0.0052,3.0,5.0
240,10.0,0.0093,3.0,5.0,0.005,3.0,5.0,0.0043,3.0,5.0
241,11.0,0.0076,3.0,4.0,0.0045,3.0,5.0,0.0041,3.0,5.0
242,12.0,0.0079,3.0,5.0,0.0048,3.0,5.0,0.0042,3.0,5.0
243,13.0,0.007,3.0,5.0,0.0043,3.0,5.0,0.0039,3.0,5.0
244,14.0,0.0081,3.0,5.0,0.0048,3.0,5.0,0.0047,3.0,5.0
245,15.0,0.0082,3.0,5.0,0.0047,3.0,5.0,0.0041,3.0,5.0
246,16.0,0.0089,3.0,3.0,0.0053,3.0,3.0,0.0049,3.0,5.0
247,17.0,0.0093,3.0,5.0,0.0052,3.0,5.0,0.0052,3.0,5.0
248,18.0,0.0093,3.0,5.0,0.0058,3.0,5.0,0.005,3.0,5.0
249,19.0,0.0087,3.0,5.0,0.0053,3.0,5.0,0.0047,3.0,5.0
250,20.0,0.0088,3.0,4.0,0.0051,3.0,4.0,0.0049,3.0,5.0
251,21.0,0.009,3.0,5.0,0.0048,3.0,5.0,0.0041,3.0,5.0
252,22.0,0.0076,3.0,5.0,0.0045,3.0,5.0,0.0044,3.0,5.0
253,23.0,0.0078,3.0,5.0,0.0051,3.0,5.0,0.005,3.0,5.0
254,24.0,0.0097,3.0,5.0,0.0053,3.0,5.0,0.0057,3.0,5.0
255,25.0,0.0096,3.0,5.0,0.0053,3.0,5.0,0.0044,3.0,5.0
256,26.0,0.0087,3.0,5.0,0.005,3.0,5.0,0.0043,3.0,5.0
257,27.0,0.0083,3.0,4.0,0.0047,3.0,4.0,0.0042,3.0,5.0
258,28.0,0.0105,3.0,5.0,0.005,3.0,5.0,0.0048,3.0,5.0
259,29.0,0.0098,3.0,5.0,0.0062,3.0,5.0,0.005,3.0,5.0
260,30.0,0.0091,3.0,5.0,0.005,3.0,5.0,0.0045,3.0,5.0
261,31.0,0.0084,3.0,5.0,0.0049,3.0,5.0,0.0042,3.0,5.0
262,32.0,0.0078,3.0,4.0,0.0049,3.0,4.0,0.0038,3.0,5.0
263,33.0,0.0082,3.0,5.0,0.0044,3.0,5.0,0.0045,3.0,5.0
264,1.0,0.0138,3.0,5.0,0.0071,3.0,5.0,0.0048,3.0,5.0
265,2.0,0.0078,3.0,4.0,0.004,3.0,5.0,0.0036,3.0,5.0
