iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.2426,5.0,42.0,0.1245,5.0,44.0,0.0954,5.0,53.0
2.0,0.195,5.0,42.0,0.1242,5.0,42.0,0.097,5.0,55.0
3.0,0.2422,5.0,40.0,0.1273,5.0,44.0,0.0981,5.0,54.0
4.0,0.2,5.0,42.0,0.1286,5.0,46.0,0.0988,5.0,56.0
5.0,0.2354,5.0,43.0,0.1214,5.0,44.0,0.0945,5.0,52.0
6.0,0.2005,5.0,42.0,0.1514,5.0,45.0,0.0957,5.0,55.0
7.0,0.1962,5.0,42.0,0.1276,5.0,44.0,0.0998,5.0,55.0
8.0,0.2024,5.0,42.0,0.1235,5.0,45.0,0.1371,5.0,55.0
9.0,0.204,5.0,42.0,0.1302,5.0,43.0,0.0981,5.0,53.0
10.0,0.2002,5.0,42.0,0.1268,5.0,43.0,0.1391,5.0,54.0
11.0,0.2034,5.0,41.0,0.1288,5.0,44.0,0.0979,5.0,55.0
12.0,0.2019,5.0,42.0,0.1707,5.0,45.0,0.0978,5.0,54.0
13.0,0.2008,5.0,41.0,0.1248,5.0,41.0,0.0966,5.0,55.0
14.0,0.2607,5.0,41.0,0.1639,5.0,45.0,0.1832,5.0,54.0
15.0,0.3793,5.0,42.0,0.1903,5.0,44.0,0.1075,5.0,54.0
16.0,0.2519,5.0,42.0,0.1279,5.0,43.0,0.0993,5.0,54.0
17.0,0.1996,5.0,42.0,0.1257,5.0,45.0,0.0976,5.0,55.0
18.0,0.2007,5.0,42.0,0.1287,5.0,43.0,0.0982,5.0,55.0
19.0,0.2038,5.0,41.0,0.1276,5.0,43.0,0.1417,5.0,55.0
20.0,0.2039,5.0,41.0,0.1285,5.0,45.0,0.0991,5.0,52.0
21.0,0.2026,5.0,39.0,0.1673,5.0,42.0,0.0966,5.0,55.0
22.0,0.2056,5.0,44.0,0.1265,5.0,44.0,0.0975,5.0,53.0
23.0,0.2441,5.0,41.0,0.1251,5.0,44.0,0.0967,5.0,55.0
24.0,0.2004,5.0,43.0,0.1271,5.0,45.0,0.0986,5.0,56.0
25.0,0.2386,5.0,42.0,0.1244,5.0,45.0,0.0957,5.0,54.0
26.0,0.2049,5.0,42.0,0.1314,5.0,46.0,0.1009,5.0,56.0
27.0,0.1928,5.0,43.0,0.1288,5.0,45.0,0.0972,5.0,56.0
28.0,0.1989,5.0,42.0,0.1295,5.0,45.0,0.0945,5.0,55.0
29.0,0.2392,5.0,43.0,0.1247,5.0,45.0,0.0973,5.0,55.0
30.0,0.1973,5.0,41.0,0.1302,5.0,44.0,0.0964,5.0,55.0
31.0,0.2433,5.0,41.0,0.1284,5.0,44.0,0.1011,5.0,54.0
32.0,0.2029,5.0,42.0,0.1282,5.0,43.0,0.1429,5.0,56.0
33.0,0.1985,5.0,43.0,0.127,5.0,45.0,0.0995,5.0,55.0
