,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
69,4.0,0.0557,9.0,14.0,0.0283,9.0,16.0,0.0182,9.0,31.0
70,5.0,0.109,7.0,15.0,0.0414,7.0,17.0,0.0221,7.0,34.0
71,6.0,0.0553,8.0,12.0,0.0333,8.0,14.0,0.0238,8.0,30.0
72,7.0,0.0485,8.0,12.0,0.0306,8.0,14.0,0.0256,8.0,25.0
73,8.0,0.0543,7.0,12.0,0.0298,7.0,15.0,0.025,7.0,30.0
74,9.0,0.0737,8.0,12.0,0.0366,8.0,14.0,0.0256,8.0,29.0
75,10.0,0.0618,8.0,14.0,0.034,8.0,15.0,0.0234,8.0,31.0
76,11.0,0.0558,7.0,13.0,0.031,7.0,15.0,0.0199,7.0,32.0
77,12.0,0.0556,7.0,12.0,0.0282,7.0,15.0,0.0174,7.0,31.0
78,13.0,0.0465,8.0,11.0,0.0256,8.0,14.0,0.0197,8.0,29.0
79,14.0,0.0505,7.0,13.0,0.0255,7.0,17.0,0.0159,7.0,33.0
80,15.0,0.0531,8.0,15.0,0.0287,8.0,16.0,0.0193,8.0,29.0
81,16.0,0.0544,9.0,13.0,0.0316,9.0,14.0,0.0246,9.0,28.0
82,17.0,0.0533,8.0,12.0,0.0308,8.0,15.0,0.0241,8.0,28.0
83,18.0,0.0735,6.0,13.0,0.0337,6.0,15.0,0.0307,6.0,36.0
84,19.0,0.0633,7.0,13.0,0.0321,7.0,15.0,0.0209,7.0,32.0
85,20.0,0.0392,8.0,14.0,0.0231,8.0,18.0,0.016,8.0,30.0
86,21.0,0.0869,8.0,12.0,0.0281,8.0,13.0,0.0207,8.0,30.0
87,22.0,0.0575,11.0,11.0,0.0346,11.0,14.0,0.0239,11.0,29.0
88,23.0,0.0428,7.0,11.0,0.025,7.0,13.0,0.0187,7.0,27.0
89,24.0,0.0554,8.0,11.0,0.0289,8.0,12.0,0.0187,8.0,31.0
90,25.0,0.0466,8.0,14.0,0.0264,8.0,17.0,0.0201,8.0,30.0
91,26.0,0.0504,7.0,12.0,0.0281,7.0,13.0,0.02,7.0,28.0
92,27.0,0.0535,7.0,14.0,0.0323,7.0,16.0,0.024,7.0,31.0
93,28.0,0.0525,7.0,13.0,0.0278,7.0,16.0,0.0183,7.0,32.0
94,29.0,0.0553,7.0,11.0,0.0306,7.0,15.0,0.0214,7.0,36.0
95,30.0,0.0599,8.0,13.0,0.034,8.0,14.0,0.0249,8.0,32.0
96,31.0,0.0724,10.0,11.0,0.0494,10.0,14.0,0.0322,10.0,33.0
97,32.0,0.0612,7.0,12.0,0.0316,7.0,16.0,0.021,7.0,36.0
98,33.0,0.0435,7.0,12.0,0.0253,7.0,13.0,0.0196,7.0,22.0
99,1.0,0.187,7.0,14.0,0.1354,7.0,15.0,0.0611,7.0,43.0
100,2.0,0.1263,8.0,14.0,0.0831,8.0,18.0,0.0602,8.0,38.0
101,3.0,0.1406,7.0,15.0,0.0953,7.0,20.0,0.0608,7.0,46.0
102,4.0,0.1438,8.0,15.0,0.0938,8.0,15.0,0.059,8.0,42.0
103,5.0,0.185,8.0,16.0,0.1646,8.0,19.0,0.0786,8.0,42.0
104,6.0,0.1494,7.0,13.0,0.1008,7.0,16.0,0.0759,7.0,42.0
105,7.0,0.1503,8.0,14.0,0.0978,8.0,18.0,0.0698,8.0,37.0
106,8.0,0.139,7.0,15.0,0.0868,7.0,18.0,0.0547,7.0,44.0
107,9.0,0.1504,8.0,15.0,0.1447,8.0,17.0,0.0747,8.0,41.0
108,10.0,0.1444,8.0,15.0,0.0953,8.0,17.0,0.0643,8.0,44.0
109,11.0,0.1402,8.0,15.0,0.093,8.0,17.0,0.0641,8.0,40.0
110,12.0,0.1528,7.0,14.0,0.0977,7.0,17.0,0.0658,7.0,42.0
111,13.0,0.1328,7.0,15.0,0.1283,7.0,20.0,0.0673,7.0,42.0
112,14.0,0.1403,7.0,17.0,0.0893,7.0,19.0,0.0626,7.0,45.0
113,15.0,0.1567,8.0,17.0,0.1043,8.0,19.0,0.0698,8.0,43.0
114,16.0,0.1341,8.0,15.0,0.0926,8.0,18.0,0.0646,8.0,39.0
115,17.0,0.1264,7.0,13.0,0.1265,7.0,17.0,0.0636,7.0,36.0
116,18.0,0.1587,7.0,14.0,0.0981,7.0,15.0,0.066,7.0,45.0
117,19.0,0.1517,7.0,16.0,0.0944,7.0,19.0,0.069,7.0,42.0
118,20.0,0.1151,7.0,16.0,0.0758,7.0,20.0,0.0597,7.0,38.0
119,21.0,0.1746,7.0,15.0,0.0877,7.0,19.0,0.0651,7.0,38.0
120,22.0,0.1392,7.0,16.0,0.0924,7.0,18.0,0.0685,7.0,42.0
121,23.0,0.1273,7.0,14.0,0.0893,7.0,18.0,0.0625,7.0,37.0
122,24.0,0.1496,8.0,14.0,0.0957,8.0,17.0,0.0678,8.0,42.0
123,25.0,0.1472,9.0,16.0,0.1329,9.0,20.0,0.0686,9.0,44.0
124,26.0,0.1298,7.0,13.0,0.085,7.0,17.0,0.0628,7.0,42.0
125,27.0,0.1359,7.0,16.0,0.0902,7.0,18.0,0.0699,7.0,37.0
126,28.0,0.1479,7.0,14.0,0.0925,7.0,16.0,0.0601,7.0,41.0
127,29.0,0.1789,7.0,12.0,0.1741,7.0,17.0,0.1842,7.0,45.0
128,30.0,0.2821,8.0,14.0,0.1395,8.0,16.0,0.0828,8.0,41.0
129,31.0,0.1591,7.0,12.0,0.1055,7.0,13.0,0.0654,7.0,39.0
130,32.0,0.1511,7.0,15.0,0.0946,7.0,18.0,0.0664,7.0,42.0
131,33.0,0.1232,7.0,15.0,0.1223,7.0,18.0,0.0644,7.0,37.0
